tag,hlj_id,requirement_id,model,version,confidence,context,validation_status,inferred,flagged,reason_for_flagged,token_length,rescue_score,rescue_notes,filtered,filter_reason
reconciliation,REQ-008-HLJ-Chunk_1-Item_2-v1.0,req-008,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.030,,Y,suspicious_and_no_semantic_match:0.030
configurability,REQ-008-HLJ-Chunk_1-Item_4-v1.0,req-008,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.143,,Y,suspicious_and_no_semantic_match:0.143
edge-case,REQ-008-HLJ-Chunk_1-Item_5-v1.0,req-008,gpt41,tags_v1,0.93,,none,no,yes,"no_context, unvalidated",1,0.060,,Y,suspicious_and_no_semantic_match:0.060
validation,REQ-008-HLJ-Chunk_1-Item_5-v1.0,req-008,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.188,,Y,suspicious_and_no_semantic_match:0.188
anomaly-detection,REQ-008-HLJ-Chunk_1-Item_7-v1.0,req-008,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.090,,Y,suspicious_and_no_semantic_match:0.090
transparency,REQ-008-HLJ-Chunk_1-Item_8-v1.0,req-008,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.046,,Y,suspicious_and_no_semantic_match:0.046
user-interface,REQ-008-HLJ-Chunk_1-Item_9-v1.0,req-008,gpt41,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.161,,Y,suspicious_and_no_semantic_match:0.161
user-trust,REQ-008-HLJ-Chunk_1-Item_9-v1.0,req-008,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.116,,Y,suspicious_and_no_semantic_match:0.116
logs,REQ-008-HLJ-Chunk_2-Item_3-v1.0,req-008,gpt41,tags_v2,,,,no,yes,"low_confidence, no_context, unvalidated",1,0.113,,Y,suspicious_and_no_semantic_match:0.113
edge-case,REQ-008-HLJ-Chunk_2-Item_4-v1.0,req-008,gpt41,tags_v1,0.94,,none,no,yes,"no_context, unvalidated",1,0.060,,Y,suspicious_and_no_semantic_match:0.060
error-handling,REQ-008-HLJ-Chunk_2-Item_4-v1.0,req-008,gpt41,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.079,,Y,suspicious_and_no_semantic_match:0.079
resilience,REQ-008-HLJ-Chunk_2-Item_4-v1.0,req-008,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,-0.006,,Y,suspicious_and_no_semantic_match:-0.006
critical-path,REQ-030-HLJ-Chunk_1-Item_2-v1.0,req-030,gpt41,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.071,,Y,suspicious_and_no_semantic_match:0.071
artifact-retention,REQ-030-HLJ-Chunk_1-Item_5-v1.0,req-030,gpt41,tags_v1,0.85,,none,yes,yes,"no_context, unvalidated",1,0.074,,Y,suspicious_and_no_semantic_match:0.074
customization,REQ-006-HLJ-Chunk_1-Item_1-v1.0,req-006,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.063,,Y,suspicious_and_no_semantic_match:0.063
resilience,REQ-006-HLJ-Chunk_1-Item_2-v1.0,req-006,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.050,,Y,suspicious_and_no_semantic_match:0.050
usability,REQ-006-HLJ-Chunk_1-Item_3-v1.0,req-006,gpt41,tags_v1,0.87,,none,no,yes,"no_context, unvalidated",1,-0.021,,Y,suspicious_and_no_semantic_match:-0.021
usability,REQ-006-HLJ-Chunk_1-Item_5-v1.0,req-006,gpt41,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,-0.021,,Y,suspicious_and_no_semantic_match:-0.021
usability,REQ-006-HLJ-Chunk_1-Item_8-v1.0,req-006,gpt41,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,-0.021,,Y,suspicious_and_no_semantic_match:-0.021
abuse-detection,REQ-006-HLJ-Chunk_1-Item_10-v1.0,req-006,gpt41,tags_v1,0.94,,none,no,yes,"no_context, unvalidated",1,0.134,,Y,suspicious_and_no_semantic_match:0.134
usability,REQ-006-HLJ-Chunk_2-Item_1-v1.0,req-006,gpt41,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,-0.021,,Y,suspicious_and_no_semantic_match:-0.021
resilience,REQ-006-HLJ-Chunk_2-Item_2-v1.0,req-006,gpt41,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,0.050,,Y,suspicious_and_no_semantic_match:0.050
authentication,REQ-006-HLJ-Chunk_2-Item_3-v1.0,req-006,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.092,,Y,suspicious_and_no_semantic_match:0.092
safety,REQ-006-HLJ-Chunk_2-Item_5-v1.0,req-006,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.034,,Y,suspicious_and_no_semantic_match:0.034
usability,REQ-006-HLJ-Chunk_2-Item_6-v1.0,req-006,gpt41,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,-0.021,,Y,suspicious_and_no_semantic_match:-0.021
education,REQ-006-HLJ-Chunk_2-Item_7-v1.0,req-006,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,-0.030,,Y,suspicious_and_no_semantic_match:-0.030
availability,REQ-001-HLJ-Chunk_1-Item_8-v1.0,req-001,gpt41,tags_v1,0.93,,none,no,yes,"no_context, unvalidated",1,0.179,,Y,suspicious_and_no_semantic_match:0.179
scalability,REQ-001-HLJ-Chunk_1-Item_9-v1.0,req-001,gpt41,tags_v1,0.94,,none,no,yes,"no_context, unvalidated",1,0.066,,Y,suspicious_and_no_semantic_match:0.066
resilience,REQ-007-HLJ-Chunk_1-Item_4-v1.0,req-007,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.060,,Y,suspicious_and_no_semantic_match:0.060
manualreview,REQ-007-HLJ-Chunk_1-Item_7-v1.0,req-007,gpt41,tags_v1,0.88,,none,no,yes,"no_context, unvalidated",1,0.077,,Y,suspicious_and_no_semantic_match:0.077
exception,REQ-007-HLJ-Chunk_1-Item_7-v1.0,req-007,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.058,,Y,suspicious_and_no_semantic_match:0.058
usability,REQ-007-HLJ-Chunk_1-Item_10-v1.0,req-007,gpt41,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.108,,Y,suspicious_and_no_semantic_match:0.108
ux,REQ-007-HLJ-Chunk_1-Item_10-v1.0,req-007,gpt41,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,0.142,,Y,suspicious_and_no_semantic_match:0.142
transparency,REQ-007-HLJ-Chunk_1-Item_10-v1.0,req-007,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.086,,Y,suspicious_and_no_semantic_match:0.086
usability,REQ-009-HLJ-Chunk_1-Item_1-v1.0,req-009,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,-0.007,,Y,suspicious_and_no_semantic_match:-0.007
risk management,REQ-009-HLJ-Chunk_1-Item_2-v1.0,req-009,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",2,0.110,,Y,suspicious_and_no_semantic_match:0.110
integrations,REQ-009-HLJ-Chunk_1-Item_4-v1.0,req-009,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.081,,Y,suspicious_and_no_semantic_match:0.081
fallback,REQ-009-HLJ-Chunk_1-Item_5-v1.0,req-009,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.030,,Y,suspicious_and_no_semantic_match:0.030
traceability,REQ-009-HLJ-Chunk_1-Item_6-v1.0,req-009,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.055,,Y,suspicious_and_no_semantic_match:0.055
user confirmation,REQ-009-HLJ-Chunk_1-Item_7-v1.0,req-009,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",2,0.114,,Y,suspicious_and_no_semantic_match:0.114
abuse prevention,REQ-009-HLJ-Chunk_1-Item_9-v1.0,req-009,gpt41,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",2,0.069,,Y,suspicious_and_no_semantic_match:0.069
regulatory reporting,REQ-009-HLJ-Chunk_1-Item_10-v1.0,req-009,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",2,0.189,,Y,suspicious_and_no_semantic_match:0.189
messaging,REQ-009-HLJ-Chunk_2-Item_2-v1.0,req-009,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.064,,Y,suspicious_and_no_semantic_match:0.064
outage-handling,REQ-009-HLJ-Chunk_2-Item_4-v1.0,req-009,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.194,,Y,suspicious_and_no_semantic_match:0.194
error handling,REQ-009-HLJ-Chunk_2-Item_5-v1.0,req-009,gpt41,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",2,0.061,,Y,suspicious_and_no_semantic_match:0.061
integrations,REQ-009-HLJ-Chunk_2-Item_6-v1.0,req-009,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.081,,Y,suspicious_and_no_semantic_match:0.081
reliability,REQ-009-HLJ-Chunk_2-Item_7-v1.0,req-009,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.033,,Y,suspicious_and_no_semantic_match:0.033
usability,REQ-009-HLJ-Chunk_2-Item_8-v1.0,req-009,gpt41,tags_v1,0.87,,none,no,yes,"no_context, unvalidated",1,-0.007,,Y,suspicious_and_no_semantic_match:-0.007
usability,REQ-009-HLJ-Chunk_2-Item_9-v1.0,req-009,gpt41,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,-0.007,,Y,suspicious_and_no_semantic_match:-0.007
modularity,REQ-009-HLJ-Chunk_2-Item_10-v1.0,req-009,gpt41,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.021,,Y,suspicious_and_no_semantic_match:0.021
coverage,REQ-014-HLJ-Chunk_1-Item_1-v1.0,req-014,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.079,,Y,suspicious_and_no_semantic_match:0.079
coverage,REQ-014-HLJ-Chunk_1-Item_3-v1.0,req-014,gpt41,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.079,,Y,suspicious_and_no_semantic_match:0.079
logs,REQ-014-HLJ-Chunk_1-Item_9-v1.0,req-014,gpt41,tags_v2,,,,no,yes,"low_confidence, no_context, unvalidated",1,0.082,,Y,suspicious_and_no_semantic_match:0.082
traceability,REQ-013-HLJ-Chunk_1-Item_2-v1.0,req-013,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.162,,Y,suspicious_and_no_semantic_match:0.162
flexibility,REQ-013-HLJ-Chunk_1-Item_3-v1.0,req-013,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.020,,Y,suspicious_and_no_semantic_match:0.020
recovery,REQ-013-HLJ-Chunk_1-Item_6-v1.0,req-013,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.194,,Y,suspicious_and_no_semantic_match:0.194
traceability,REQ-013-HLJ-Chunk_1-Item_7-v1.0,req-013,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.162,,Y,suspicious_and_no_semantic_match:0.162
analytics,REQ-013-HLJ-Chunk_1-Item_9-v1.0,req-013,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.130,,Y,suspicious_and_no_semantic_match:0.130
monitoring,REQ-013-HLJ-Chunk_1-Item_10-v1.0,req-013,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.182,,Y,suspicious_and_no_semantic_match:0.182
transparency,REQ-013-HLJ-Chunk_2-Item_1-v1.0,req-013,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.070,,Y,suspicious_and_no_semantic_match:0.070
cicd,REQ-025-HLJ-Chunk_1-Item_6-v1.0,req-025,gpt41,tags_v1,0.93,,none,no,yes,"no_context, unvalidated",1,0.035,,Y,suspicious_and_no_semantic_match:0.035
automation,REQ-025-HLJ-Chunk_1-Item_7-v1.0,req-025,gpt41,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,0.184,,Y,suspicious_and_no_semantic_match:0.184
usability,REQ-022-HLJ-Chunk_1-Item_4-v1.0,req-022,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.043,,Y,suspicious_and_no_semantic_match:0.043
historical,REQ-022-HLJ-Chunk_1-Item_6-v1.0,req-022,gpt41,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.038,,Y,suspicious_and_no_semantic_match:0.038
integrity,REQ-022-HLJ-Chunk_1-Item_6-v1.0,req-022,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.182,,Y,suspicious_and_no_semantic_match:0.182
alerting,REQ-022-HLJ-Chunk_1-Item_7-v1.0,req-022,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.050,,Y,suspicious_and_no_semantic_match:0.050
enablement,REQ-022-HLJ-Chunk_1-Item_8-v1.0,req-022,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.095,,Y,suspicious_and_no_semantic_match:0.095
fault-tolerance,REQ-023-HLJ-Chunk_1-Item_5-v1.0,req-023,gpt41,tags_v1,0.93,,none,no,yes,"no_context, unvalidated",1,0.180,,Y,suspicious_and_no_semantic_match:0.180
alerting,REQ-023-HLJ-Chunk_1-Item_7-v1.0,req-023,gpt41,tags_v1,0.97,,none,no,yes,"no_context, unvalidated",1,0.155,,Y,suspicious_and_no_semantic_match:0.155
automation,REQ-023-HLJ-Chunk_1-Item_7-v1.0,req-023,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.154,,Y,suspicious_and_no_semantic_match:0.154
communication,REQ-023-HLJ-Chunk_1-Item_8-v1.0,req-023,gpt41,tags_v1,0.94,,none,no,yes,"no_context, unvalidated",1,-0.011,,Y,suspicious_and_no_semantic_match:-0.011
user-option,REQ-023-HLJ-Chunk_1-Item_8-v1.0,req-023,gpt41,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,0.197,,Y,suspicious_and_no_semantic_match:0.197
data-protection,REQ-023-HLJ-Chunk_1-Item_9-v1.0,req-023,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.191,,Y,suspicious_and_no_semantic_match:0.191
event-logging,REQ-023-HLJ-Chunk_1-Item_10-v1.0,req-023,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.165,,Y,suspicious_and_no_semantic_match:0.165
a/b testing,REQ-024-HLJ-Chunk_1-Item_6-v1.0,req-024,gpt41,tags_v1,0.93,title,direct,no,no,,2,0.072,,Y,suspicious_and_no_semantic_match:0.072
a/b testing,REQ-024-HLJ-Chunk_1-Item_6-v1.0,req-024,gpt41,tags_v2,0.93,title,direct,no,no,,2,0.072,,Y,suspicious_and_no_semantic_match:0.072
logging,REQ-024-HLJ-Chunk_1-Item_10-v1.0,req-024,gpt41,tags_v1,0.93,,none,no,yes,"no_context, unvalidated",1,0.192,,Y,suspicious_and_no_semantic_match:0.192
help-center,REQ-024-HLJ-Chunk_2-Item_4-v1.0,req-024,gpt41,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.147,,Y,suspicious_and_no_semantic_match:0.147
automation,REQ-012-HLJ-Chunk_1-Item_1-v1.0,req-012,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.032,,Y,suspicious_and_no_semantic_match:0.032
transparency,REQ-012-HLJ-Chunk_1-Item_4-v1.0,req-012,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.019,,Y,suspicious_and_no_semantic_match:0.019
automation,REQ-012-HLJ-Chunk_1-Item_10-v1.0,req-012,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.032,,Y,suspicious_and_no_semantic_match:0.032
usability,REQ-012-HLJ-Chunk_2-Item_3-v1.0,req-012,gpt41,tags_v1,0.87,,none,no,yes,"no_context, unvalidated",1,-0.075,,Y,suspicious_and_no_semantic_match:-0.075
usability,REQ-015-HLJ-Chunk_1-Item_3-v1.0,req-015,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.172,,Y,suspicious_and_no_semantic_match:0.172
error-handling,REQ-015-HLJ-Chunk_1-Item_5-v1.0,req-015,gpt41,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.185,,Y,suspicious_and_no_semantic_match:0.185
usability,REQ-015-HLJ-Chunk_1-Item_8-v1.0,req-015,gpt41,tags_v1,0.95,,none,no,yes,"no_context, unvalidated",1,0.172,,Y,suspicious_and_no_semantic_match:0.172
auditing,REQ-015-HLJ-Chunk_2-Item_1-v1.0,req-015,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.191,,Y,suspicious_and_no_semantic_match:0.191
rate-limiting,REQ-015-HLJ-Chunk_2-Item_2-v1.0,req-015,gpt41,tags_v1,0.97,,none,no,yes,"no_context, unvalidated",1,0.056,,Y,suspicious_and_no_semantic_match:0.056
performance,REQ-015-HLJ-Chunk_2-Item_2-v1.0,req-015,gpt41,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.026,,Y,suspicious_and_no_semantic_match:0.026
dependency,REQ-015-HLJ-Chunk_2-Item_5-v1.0,req-015,gpt41,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,0.018,,Y,suspicious_and_no_semantic_match:0.018
scalability,REQ-015-HLJ-Chunk_2-Item_6-v1.0,req-015,gpt41,tags_v1,0.97,,none,no,yes,"no_context, unvalidated",1,0.080,,Y,suspicious_and_no_semantic_match:0.080
usability,REQ-002-HLJ-Chunk_1-Item_1-v1.0,req-002,gpt41,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,0.126,,Y,suspicious_and_no_semantic_match:0.126
usability,REQ-002-HLJ-Chunk_1-Item_3-v1.0,req-002,gpt41,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.126,,Y,suspicious_and_no_semantic_match:0.126
usability,REQ-002-HLJ-Chunk_1-Item_5-v1.0,req-002,gpt41,tags_v1,0.88,,none,no,yes,"no_context, unvalidated",1,0.126,,Y,suspicious_and_no_semantic_match:0.126
maintainability,REQ-002-HLJ-Chunk_1-Item_6-v1.0,req-002,gpt41,tags_v1,0.86,,none,no,yes,"no_context, unvalidated",1,0.117,,Y,suspicious_and_no_semantic_match:0.117
maintainability,REQ-002-HLJ-Chunk_1-Item_10-v1.0,req-002,gpt41,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,0.117,,Y,suspicious_and_no_semantic_match:0.117
usability,REQ-002-HLJ-Chunk_1-Item_10-v1.0,req-002,gpt41,tags_v1,0.87,,none,no,yes,"no_context, unvalidated",1,0.126,,Y,suspicious_and_no_semantic_match:0.126
frontend,REQ-005-HLJ-Chunk_1-Item_1-v1.0,req-005,gpt41,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.082,,Y,suspicious_and_no_semantic_match:0.082
accessibility,REQ-005-HLJ-Chunk_1-Item_2-v1.0,req-005,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.171,,Y,suspicious_and_no_semantic_match:0.171
error_handling,REQ-005-HLJ-Chunk_1-Item_3-v1.0,req-005,gpt41,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,0.027,,Y,suspicious_and_no_semantic_match:0.027
reliability,REQ-005-HLJ-Chunk_2-Item_1-v1.0,req-005,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.095,,Y,suspicious_and_no_semantic_match:0.095
integration,REQ-005-HLJ-Chunk_2-Item_2-v1.0,req-005,gpt41,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,-0.021,,Y,suspicious_and_no_semantic_match:-0.021
consistency,REQ-005-HLJ-Chunk_2-Item_2-v1.0,req-005,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.112,,Y,suspicious_and_no_semantic_match:0.112
logging,REQ-005-HLJ-Chunk_2-Item_4-v1.0,req-005,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.081,,Y,suspicious_and_no_semantic_match:0.081
resilience,REQ-005-HLJ-Chunk_2-Item_5-v1.0,req-005,gpt41,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.115,,Y,suspicious_and_no_semantic_match:0.115
user-notification,REQ-005-HLJ-Chunk_2-Item_5-v1.0,req-005,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.133,,Y,suspicious_and_no_semantic_match:0.133
consistency,REQ-005-HLJ-Chunk_2-Item_6-v1.0,req-005,gpt41,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.112,,Y,suspicious_and_no_semantic_match:0.112
error_handling,REQ-005-HLJ-Chunk_2-Item_6-v1.0,req-005,gpt41,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,0.027,,Y,suspicious_and_no_semantic_match:0.027
consistency,REQ-005-HLJ-Chunk_2-Item_7-v1.0,req-005,gpt41,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.112,,Y,suspicious_and_no_semantic_match:0.112
error_handling,REQ-005-HLJ-Chunk_2-Item_7-v1.0,req-005,gpt41,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,0.027,,Y,suspicious_and_no_semantic_match:0.027
concurrency,REQ-005-HLJ-Chunk_2-Item_7-v1.0,req-005,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.169,,Y,suspicious_and_no_semantic_match:0.169
regulation,REQ-005-HLJ-Chunk_2-Item_10-v1.0,req-005,gpt41,tags_v1,0.94,,none,no,yes,"no_context, unvalidated",1,0.172,,Y,suspicious_and_no_semantic_match:0.172
edge-case,REQ-004-HLJ-Chunk_1-Item_8-v1.0,req-004,gpt41,tags_v1,0.79,,none,no,yes,"no_context, unvalidated",1,-0.059,,Y,suspicious_and_no_semantic_match:-0.059
multi-user,REQ-004-HLJ-Chunk_1-Item_8-v1.0,req-004,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.096,,Y,suspicious_and_no_semantic_match:0.096
real-time,REQ-004-HLJ-Chunk_2-Item_3-v1.0,req-004,gpt41,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,-0.025,,Y,suspicious_and_no_semantic_match:-0.025
configurability,REQ-003-HLJ-Chunk_1-Item_1-v1.0,req-003,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.097,,Y,suspicious_and_no_semantic_match:0.097
customization,REQ-003-HLJ-Chunk_1-Item_2-v1.0,req-003,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.118,,Y,suspicious_and_no_semantic_match:0.118
maintainability,REQ-003-HLJ-Chunk_1-Item_6-v1.0,req-003,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.060,,Y,suspicious_and_no_semantic_match:0.060
usability,REQ-003-HLJ-Chunk_1-Item_7-v1.0,req-003,gpt41,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,0.124,,Y,suspicious_and_no_semantic_match:0.124
data-minimization,REQ-003-HLJ-Chunk_1-Item_10-v1.0,req-003,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.084,,Y,suspicious_and_no_semantic_match:0.084
visibility,REQ-010-HLJ-Chunk_1-Item_6-v1.0,req-010,gpt41,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,0.094,,Y,suspicious_and_no_semantic_match:0.094
tooling,REQ-010-HLJ-Chunk_1-Item_9-v1.0,req-010,gpt41,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,0.071,,Y,suspicious_and_no_semantic_match:0.071
access-control,REQ-010-HLJ-Chunk_2-Item_2-v1.0,req-010,gpt41,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,0.129,,Y,suspicious_and_no_semantic_match:0.129
