tag,hlj_id,requirement_id,model,version,confidence,context,validation_status,inferred,flagged,reason_for_flagged,token_length,rescue_score,rescue_notes,filtered,filter_reason
edge-case,REQ-028-HLJ-Chunk_1-Item_5-v1.0,req-028,gpt41,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,0.140,,Y,suspicious_and_no_semantic_match:0.140
tone-analysis,REQ-028-HLJ-Chunk_1-Item_5-v1.0,req-028,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.176,,Y,suspicious_and_no_semantic_match:0.176
continuous-learning,REQ-028-HLJ-Chunk_1-Item_6-v1.0,req-028,gpt41,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,0.163,,Y,suspicious_and_no_semantic_match:0.163
retraining,REQ-028-HLJ-Chunk_1-Item_6-v1.0,req-028,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.104,,Y,suspicious_and_no_semantic_match:0.104
latency,REQ-028-HLJ-Chunk_1-Item_7-v1.0,req-028,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.129,,Y,suspicious_and_no_semantic_match:0.129
usability,REQ-028-HLJ-Chunk_1-Item_8-v1.0,req-028,gpt41,tags_v1,0.85,,none,no,yes,"no_context, unvalidated",1,0.176,,Y,suspicious_and_no_semantic_match:0.176
change-management,REQ-028-HLJ-Chunk_1-Item_8-v1.0,req-028,gpt41,tags_v1,0.87,,none,no,yes,"no_context, unvalidated",1,0.137,,Y,suspicious_and_no_semantic_match:0.137
traceability,REQ-028-HLJ-Chunk_2-Item_1-v1.0,req-028,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.118,,Y,suspicious_and_no_semantic_match:0.118
privacy,REQ-028-HLJ-Chunk_2-Item_2-v1.0,req-028,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.023,,Y,suspicious_and_no_semantic_match:0.023
finance,REQ-017-HLJ-Chunk_1-Item_1-v1.0,req-017,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.179,,Y,suspicious_and_no_semantic_match:0.179
scheduling,REQ-017-HLJ-Chunk_1-Item_2-v1.0,req-017,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.164,,Y,suspicious_and_no_semantic_match:0.164
transparency,REQ-017-HLJ-Chunk_1-Item_4-v1.0,req-017,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.019,,Y,suspicious_and_no_semantic_match:0.019
period-alignment,REQ-017-HLJ-Chunk_1-Item_5-v1.0,req-017,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.153,,Y,suspicious_and_no_semantic_match:0.153
fraud,REQ-017-HLJ-Chunk_1-Item_6-v1.0,req-017,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.172,,Y,suspicious_and_no_semantic_match:0.172
communication,REQ-017-HLJ-Chunk_1-Item_7-v1.0,req-017,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,-0.027,,Y,suspicious_and_no_semantic_match:-0.027
anomaly-detection,REQ-017-HLJ-Chunk_1-Item_8-v1.0,req-017,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.071,,Y,suspicious_and_no_semantic_match:0.071
enablement,REQ-017-HLJ-Chunk_1-Item_9-v1.0,req-017,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.020,,Y,suspicious_and_no_semantic_match:0.020
compliance,REQ-017-HLJ-Chunk_1-Item_10-v1.0,req-017,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.163,,Y,suspicious_and_no_semantic_match:0.163
automation,REQ-019-HLJ-Chunk_1-Item_2-v1.0,req-019,gpt41,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.040,,Y,suspicious_and_no_semantic_match:0.040
usability,REQ-019-HLJ-Chunk_1-Item_4-v1.0,req-019,gpt41,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.126,,Y,suspicious_and_no_semantic_match:0.126
configurability,REQ-019-HLJ-Chunk_1-Item_4-v1.0,req-019,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.077,,Y,suspicious_and_no_semantic_match:0.077
comparison,REQ-019-HLJ-Chunk_1-Item_6-v1.0,req-019,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.044,,Y,suspicious_and_no_semantic_match:0.044
interoperability,REQ-019-HLJ-Chunk_1-Item_7-v1.0,req-019,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,-0.049,,Y,suspicious_and_no_semantic_match:-0.049
edge-case,REQ-019-HLJ-Chunk_1-Item_8-v1.0,req-019,gpt41,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,0.042,,Y,suspicious_and_no_semantic_match:0.042
deduplication,REQ-019-HLJ-Chunk_1-Item_8-v1.0,req-019,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.076,,Y,suspicious_and_no_semantic_match:0.076
usability,REQ-019-HLJ-Chunk_1-Item_9-v1.0,req-019,gpt41,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.126,,Y,suspicious_and_no_semantic_match:0.126
error-handling,REQ-019-HLJ-Chunk_1-Item_9-v1.0,req-019,gpt41,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.024,,Y,suspicious_and_no_semantic_match:0.024
guidance,REQ-019-HLJ-Chunk_1-Item_9-v1.0,req-019,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.120,,Y,suspicious_and_no_semantic_match:0.120
education,REQ-019-HLJ-Chunk_1-Item_10-v1.0,req-019,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.011,,Y,suspicious_and_no_semantic_match:0.011
usability,REQ-026-HLJ-Chunk_1-Item_3-v1.0,req-026,gpt41,tags_v1,0.93,,none,no,yes,"no_context, unvalidated",1,0.187,,Y,suspicious_and_no_semantic_match:0.187
embedded-ui,REQ-026-HLJ-Chunk_1-Item_3-v1.0,req-026,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.082,,Y,suspicious_and_no_semantic_match:0.082
usability,REQ-026-HLJ-Chunk_1-Item_4-v1.0,req-026,gpt41,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.187,,Y,suspicious_and_no_semantic_match:0.187
synchronization,REQ-026-HLJ-Chunk_1-Item_5-v1.0,req-026,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.129,,Y,suspicious_and_no_semantic_match:0.129
prioritization,REQ-026-HLJ-Chunk_1-Item_6-v1.0,req-026,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.139,,Y,suspicious_and_no_semantic_match:0.139
usability,REQ-026-HLJ-Chunk_1-Item_7-v1.0,req-026,gpt41,tags_v1,0.95,,none,no,yes,"no_context, unvalidated",1,0.187,,Y,suspicious_and_no_semantic_match:0.187
auditability,REQ-026-HLJ-Chunk_2-Item_3-v1.0,req-026,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.144,,Y,suspicious_and_no_semantic_match:0.144
filtering,REQ-018-HLJ-Chunk_1-Item_7-v1.0,req-018,gpt41,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,0.099,,Y,suspicious_and_no_semantic_match:0.099
edge-case,REQ-018-HLJ-Chunk_1-Item_9-v1.0,req-018,gpt41,tags_v1,0.94,,none,no,yes,"no_context, unvalidated",1,0.119,,Y,suspicious_and_no_semantic_match:0.119
tooling,REQ-027-HLJ-Chunk_1-Item_3-v1.0,req-027,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.145,,Y,suspicious_and_no_semantic_match:0.145
flexibility,REQ-027-HLJ-Chunk_1-Item_4-v1.0,req-027,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.184,,Y,suspicious_and_no_semantic_match:0.184
traceability,REQ-027-HLJ-Chunk_1-Item_9-v1.0,req-027,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.023,,Y,suspicious_and_no_semantic_match:0.023
training,REQ-027-HLJ-Chunk_2-Item_1-v1.0,req-027,gpt41,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,-0.005,,Y,suspicious_and_no_semantic_match:-0.005
security,REQ-020-HLJ-Chunk_1-Item_1-v1.0,req-020,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.007,,Y,suspicious_and_no_semantic_match:0.007
usability,REQ-020-HLJ-Chunk_1-Item_4-v1.0,req-020,gpt41,tags_v1,0.95,,none,no,yes,"no_context, unvalidated",1,0.032,,Y,suspicious_and_no_semantic_match:0.032
usability,REQ-020-HLJ-Chunk_1-Item_5-v1.0,req-020,gpt41,tags_v1,0.95,,none,no,yes,"no_context, unvalidated",1,0.032,,Y,suspicious_and_no_semantic_match:0.032
logging,REQ-020-HLJ-Chunk_1-Item_7-v1.0,req-020,gpt41,tags_v1,0.97,,none,no,yes,"no_context, unvalidated",1,0.137,,Y,suspicious_and_no_semantic_match:0.137
usability,REQ-020-HLJ-Chunk_1-Item_9-v1.0,req-020,gpt41,tags_v1,0.94,,none,no,yes,"no_context, unvalidated",1,0.032,,Y,suspicious_and_no_semantic_match:0.032
usability,REQ-020-HLJ-Chunk_1-Item_10-v1.0,req-020,gpt41,tags_v1,0.94,,none,no,yes,"no_context, unvalidated",1,0.032,,Y,suspicious_and_no_semantic_match:0.032
usability,REQ-029-HLJ-Chunk_1-Item_3-v1.0,req-029,gpt41,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.109,,Y,suspicious_and_no_semantic_match:0.109
usability,REQ-029-HLJ-Chunk_1-Item_4-v1.0,req-029,gpt41,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.109,,Y,suspicious_and_no_semantic_match:0.109
advanced-filtering,REQ-029-HLJ-Chunk_1-Item_4-v1.0,req-029,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.165,,Y,suspicious_and_no_semantic_match:0.165
periodic-summaries,REQ-029-HLJ-Chunk_1-Item_8-v1.0,req-029,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.124,,Y,suspicious_and_no_semantic_match:0.124
maintainability,REQ-016-HLJ-Chunk_1-Item_3-v1.0,req-016,gpt41,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.083,,Y,suspicious_and_no_semantic_match:0.083
usability,REQ-016-HLJ-Chunk_1-Item_4-v1.0,req-016,gpt41,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,0.053,,Y,suspicious_and_no_semantic_match:0.053
usability,REQ-016-HLJ-Chunk_1-Item_6-v1.0,req-016,gpt41,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.053,,Y,suspicious_and_no_semantic_match:0.053
usability,REQ-016-HLJ-Chunk_1-Item_7-v1.0,req-016,gpt41,tags_v1,0.87,,none,no,yes,"no_context, unvalidated",1,0.053,,Y,suspicious_and_no_semantic_match:0.053
maintainability,REQ-016-HLJ-Chunk_1-Item_10-v1.0,req-016,gpt41,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,0.083,,Y,suspicious_and_no_semantic_match:0.083
usability,REQ-016-HLJ-Chunk_1-Item_10-v1.0,req-016,gpt41,tags_v1,0.8,,none,no,yes,"no_context, unvalidated",1,0.053,,Y,suspicious_and_no_semantic_match:0.053
usability,REQ-011-HLJ-Chunk_1-Item_4-v1.0,req-011,gpt41,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,0.140,,Y,suspicious_and_no_semantic_match:0.140
revalidation,REQ-011-HLJ-Chunk_1-Item_5-v1.0,req-011,gpt41,tags_v1,0.94,,none,no,yes,"no_context, unvalidated",1,0.110,,Y,suspicious_and_no_semantic_match:0.110
usability,REQ-011-HLJ-Chunk_1-Item_8-v1.0,req-011,gpt41,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,0.140,,Y,suspicious_and_no_semantic_match:0.140
usability,REQ-011-HLJ-Chunk_1-Item_9-v1.0,req-011,gpt41,tags_v1,0.95,,none,no,yes,"no_context, unvalidated",1,0.140,,Y,suspicious_and_no_semantic_match:0.140
traceability,REQ-011-HLJ-Chunk_2-Item_2-v1.0,req-011,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.157,,Y,suspicious_and_no_semantic_match:0.157
logging,REQ-008-HLJ-Chunk_1-Item_10-v1.0,req-008,opus4,tags_v1,0.98,,none,no,yes,"no_context, unvalidated",1,0.083,,Y,suspicious_and_no_semantic_match:0.083
edge-case,REQ-008-HLJ-Chunk_2-Item_5-v1.0,req-008,opus4,tags_v1,0.87,,none,no,yes,"no_context, unvalidated",1,0.060,,Y,suspicious_and_no_semantic_match:0.060
edge-case,REQ-008-HLJ-Chunk_3-Item_6-v1.0,req-008,opus4,tags_v1,0.88,,none,no,yes,"no_context, unvalidated",1,0.060,,Y,suspicious_and_no_semantic_match:0.060
burst-control,REQ-006-HLJ-Chunk_1-Item_2-v1.0,req-006,opus4,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,0.171,,Y,suspicious_and_no_semantic_match:0.171
resilience,REQ-006-HLJ-Chunk_1-Item_2-v1.0,req-006,opus4,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.050,,Y,suspicious_and_no_semantic_match:0.050
admin-portal,REQ-006-HLJ-Chunk_1-Item_3-v1.0,req-006,opus4,tags_v1,0.93,,none,no,yes,"no_context, unvalidated",1,0.075,,Y,suspicious_and_no_semantic_match:0.075
http-429,REQ-006-HLJ-Chunk_1-Item_5-v1.0,req-006,opus4,tags_v1,0.95,,none,no,yes,"no_context, unvalidated",1,0.125,,Y,suspicious_and_no_semantic_match:0.125
notification,REQ-006-HLJ-Chunk_1-Item_8-v1.0,req-006,opus4,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.025,,Y,suspicious_and_no_semantic_match:0.025
analytics,REQ-006-HLJ-Chunk_2-Item_1-v1.0,req-006,opus4,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.167,,Y,suspicious_and_no_semantic_match:0.167
incident-response,REQ-006-HLJ-Chunk_2-Item_2-v1.0,req-006,opus4,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,-0.029,,Y,suspicious_and_no_semantic_match:-0.029
resilience,REQ-006-HLJ-Chunk_2-Item_3-v1.0,req-006,opus4,tags_v1,0.95,,none,no,yes,"no_context, unvalidated",1,0.050,,Y,suspicious_and_no_semantic_match:0.050
anti-spoofing,REQ-006-HLJ-Chunk_2-Item_4-v1.0,req-006,opus4,tags_v1,0.96,,none,no,yes,"no_context, unvalidated",1,0.007,,Y,suspicious_and_no_semantic_match:0.007
risk-management,REQ-006-HLJ-Chunk_2-Item_6-v1.0,req-006,opus4,tags_v1,0.93,,none,no,yes,"no_context, unvalidated",1,0.127,,Y,suspicious_and_no_semantic_match:0.127
normalization,REQ-001-HLJ-Chunk_1-Item_9-v1.0,req-001,opus4,tags_v1,0.93,,none,no,yes,"no_context, unvalidated",1,0.039,,Y,suspicious_and_no_semantic_match:0.039
edge-cases,REQ-001-HLJ-Chunk_1-Item_9-v1.0,req-001,opus4,tags_v1,0.88,,none,no,yes,"no_context, unvalidated",1,0.017,,Y,suspicious_and_no_semantic_match:0.017
resilience,REQ-001-HLJ-Chunk_1-Item_10-v1.0,req-001,opus4,tags_v1,0.94,,none,no,yes,"no_context, unvalidated",1,0.019,,Y,suspicious_and_no_semantic_match:0.019
availability,REQ-001-HLJ-Chunk_1-Item_10-v1.0,req-001,opus4,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,0.179,,Y,suspicious_and_no_semantic_match:0.179
api,REQ-007-HLJ-Chunk_1-Item_1-v1.0,req-007,opus4,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.112,,Y,suspicious_and_no_semantic_match:0.112
architecture,REQ-007-HLJ-Chunk_1-Item_1-v1.0,req-007,opus4,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,0.092,,Y,suspicious_and_no_semantic_match:0.092
reliability,REQ-007-HLJ-Chunk_1-Item_4-v1.0,req-007,opus4,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.113,,Y,suspicious_and_no_semantic_match:0.113
notification,REQ-007-HLJ-Chunk_1-Item_6-v1.0,req-007,opus4,tags_v2,,,,no,yes,"low_confidence, no_context, unvalidated",1,0.110,,Y,suspicious_and_no_semantic_match:0.110
analytics,REQ-007-HLJ-Chunk_2-Item_2-v1.0,req-007,opus4,tags_v1,0.87,,none,no,yes,"no_context, unvalidated",1,0.175,,Y,suspicious_and_no_semantic_match:0.175
ux,REQ-007-HLJ-Chunk_2-Item_3-v1.0,req-007,opus4,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.142,,Y,suspicious_and_no_semantic_match:0.142
ux,REQ-007-HLJ-Chunk_2-Item_4-v1.0,req-007,opus4,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,0.142,,Y,suspicious_and_no_semantic_match:0.142
qa,REQ-007-HLJ-Chunk_2-Item_7-v1.0,req-007,opus4,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,0.170,,Y,suspicious_and_no_semantic_match:0.170
timing,REQ-009-HLJ-Chunk_1-Item_3-v1.0,req-009,opus4,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.169,,Y,suspicious_and_no_semantic_match:0.169
deployment,REQ-009-HLJ-Chunk_1-Item_9-v1.0,req-009,opus4,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,-0.072,,Y,suspicious_and_no_semantic_match:-0.072
database,REQ-009-HLJ-Chunk_2-Item_2-v1.0,req-009,opus4,tags_v1,0.88,,none,no,yes,"no_context, unvalidated",1,0.087,,Y,suspicious_and_no_semantic_match:0.087
automation,REQ-009-HLJ-Chunk_2-Item_3-v1.0,req-009,opus4,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.132,,Y,suspicious_and_no_semantic_match:0.132
timing,REQ-009-HLJ-Chunk_2-Item_5-v1.0,req-009,opus4,tags_v1,0.94,,none,no,yes,"no_context, unvalidated",1,0.169,,Y,suspicious_and_no_semantic_match:0.169
database,REQ-009-HLJ-Chunk_2-Item_5-v1.0,req-009,opus4,tags_v1,0.87,,none,no,yes,"no_context, unvalidated",1,0.087,,Y,suspicious_and_no_semantic_match:0.087
error-handling,REQ-009-HLJ-Chunk_2-Item_6-v1.0,req-009,opus4,tags_v1,0.95,,none,no,yes,"no_context, unvalidated",1,0.076,,Y,suspicious_and_no_semantic_match:0.076
messaging,REQ-009-HLJ-Chunk_3-Item_5-v1.0,req-009,opus4,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.064,,Y,suspicious_and_no_semantic_match:0.064
automation,REQ-009-HLJ-Chunk_3-Item_7-v1.0,req-009,opus4,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.132,,Y,suspicious_and_no_semantic_match:0.132
error-handling,REQ-009-HLJ-Chunk_3-Item_7-v1.0,req-009,opus4,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.076,,Y,suspicious_and_no_semantic_match:0.076
filter,REQ-025-HLJ-Chunk_1-Item_5-v1.0,req-025,opus4,tags_v2,,,,no,yes,"low_confidence, no_context, unvalidated",1,0.016,,Y,suspicious_and_no_semantic_match:0.016
automation,REQ-025-HLJ-Chunk_1-Item_10-v1.0,req-025,opus4,tags_v1,0.95,,none,no,yes,"no_context, unvalidated",1,0.184,,Y,suspicious_and_no_semantic_match:0.184
security,REQ-025-HLJ-Chunk_2-Item_3-v1.0,req-025,opus4,tags_v1,0.88,,none,no,yes,"no_context, unvalidated",1,0.087,,Y,suspicious_and_no_semantic_match:0.087
gdpr,REQ-025-HLJ-Chunk_2-Item_3-v1.0,req-025,opus4,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.200,,Y,suspicious_and_no_semantic_match:0.200
rbac,REQ-022-HLJ-Chunk_1-Item_4-v1.0,req-022,opus4,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.174,,Y,suspicious_and_no_semantic_match:0.174
history,REQ-022-HLJ-Chunk_1-Item_8-v1.0,req-022,opus4,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.103,,Y,suspicious_and_no_semantic_match:0.103
alert,REQ-022-HLJ-Chunk_1-Item_9-v1.0,req-022,opus4,tags_v2,,,,no,yes,"low_confidence, no_context, unvalidated",1,0.035,,Y,suspicious_and_no_semantic_match:0.035
alerts,REQ-022-HLJ-Chunk_1-Item_10-v1.0,req-022,opus4,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,0.121,,Y,suspicious_and_no_semantic_match:0.121
rate-limiting,REQ-022-HLJ-Chunk_2-Item_1-v1.0,req-022,opus4,tags_v1,0.95,,none,no,yes,"no_context, unvalidated",1,0.052,,Y,suspicious_and_no_semantic_match:0.052
performance,REQ-022-HLJ-Chunk_2-Item_1-v1.0,req-022,opus4,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,0.010,,Y,suspicious_and_no_semantic_match:0.010
backend,REQ-023-HLJ-Chunk_1-Item_1-v1.0,req-023,opus4,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,0.157,,Y,suspicious_and_no_semantic_match:0.157
backend,REQ-023-HLJ-Chunk_1-Item_2-v1.0,req-023,opus4,tags_v1,0.87,,none,no,yes,"no_context, unvalidated",1,0.157,,Y,suspicious_and_no_semantic_match:0.157
admin-portal,REQ-023-HLJ-Chunk_1-Item_3-v1.0,req-023,opus4,tags_v1,0.95,,none,no,yes,"no_context, unvalidated",1,0.123,,Y,suspicious_and_no_semantic_match:0.123
frontend,REQ-023-HLJ-Chunk_1-Item_3-v1.0,req-023,opus4,tags_v1,0.88,,none,no,yes,"no_context, unvalidated",1,0.160,,Y,suspicious_and_no_semantic_match:0.160
backend,REQ-023-HLJ-Chunk_1-Item_4-v1.0,req-023,opus4,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,0.157,,Y,suspicious_and_no_semantic_match:0.157
security,REQ-023-HLJ-Chunk_1-Item_5-v1.0,req-023,opus4,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.095,,Y,suspicious_and_no_semantic_match:0.095
backend,REQ-023-HLJ-Chunk_1-Item_5-v1.0,req-023,opus4,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,0.157,,Y,suspicious_and_no_semantic_match:0.157
frontend,REQ-023-HLJ-Chunk_1-Item_6-v1.0,req-023,opus4,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.160,,Y,suspicious_and_no_semantic_match:0.160
backend,REQ-023-HLJ-Chunk_1-Item_7-v1.0,req-023,opus4,tags_v1,0.88,,none,no,yes,"no_context, unvalidated",1,0.157,,Y,suspicious_and_no_semantic_match:0.157
backend,REQ-023-HLJ-Chunk_1-Item_8-v1.0,req-023,opus4,tags_v1,0.88,,none,no,yes,"no_context, unvalidated",1,0.157,,Y,suspicious_and_no_semantic_match:0.157
backend,REQ-023-HLJ-Chunk_1-Item_9-v1.0,req-023,opus4,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.157,,Y,suspicious_and_no_semantic_match:0.157
ux,REQ-023-HLJ-Chunk_1-Item_10-v1.0,req-023,opus4,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.102,,Y,suspicious_and_no_semantic_match:0.102
frontend,REQ-023-HLJ-Chunk_1-Item_10-v1.0,req-023,opus4,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,0.160,,Y,suspicious_and_no_semantic_match:0.160
accessibility,REQ-023-HLJ-Chunk_1-Item_10-v1.0,req-023,opus4,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.076,,Y,suspicious_and_no_semantic_match:0.076
ux,REQ-023-HLJ-Chunk_2-Item_1-v1.0,req-023,opus4,tags_v1,0.88,,none,no,yes,"no_context, unvalidated",1,0.102,,Y,suspicious_and_no_semantic_match:0.102
frontend,REQ-023-HLJ-Chunk_2-Item_1-v1.0,req-023,opus4,tags_v1,0.86,,none,no,yes,"no_context, unvalidated",1,0.160,,Y,suspicious_and_no_semantic_match:0.160
security,REQ-023-HLJ-Chunk_2-Item_2-v1.0,req-023,opus4,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,0.095,,Y,suspicious_and_no_semantic_match:0.095
backend,REQ-023-HLJ-Chunk_2-Item_3-v1.0,req-023,opus4,tags_v1,0.87,,none,no,yes,"no_context, unvalidated",1,0.157,,Y,suspicious_and_no_semantic_match:0.157
