tag,hlj_id,requirement_id,model,version,confidence,context,validation_status,inferred,flagged,reason_for_flagged,token_length,rescue_score,rescue_notes,filtered,filter_reason
backend,REQ-023-HLJ-Chunk_2-Item_4-v1.0,req-023,opus4,tags_v1,0.88,,none,no,yes,"no_context, unvalidated",1,0.157,,Y,suspicious_and_no_semantic_match:0.157
training,REQ-023-HLJ-Chunk_2-Item_5-v1.0,req-023,opus4,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,0.023,,Y,suspicious_and_no_semantic_match:0.023
training,REQ-023-HLJ-Chunk_2-Item_6-v1.0,req-023,opus4,tags_v1,0.88,,none,no,yes,"no_context, unvalidated",1,0.023,,Y,suspicious_and_no_semantic_match:0.023
backend,REQ-023-HLJ-Chunk_2-Item_7-v1.0,req-023,opus4,tags_v1,0.88,,none,no,yes,"no_context, unvalidated",1,0.157,,Y,suspicious_and_no_semantic_match:0.157
backend,REQ-023-HLJ-Chunk_2-Item_8-v1.0,req-023,opus4,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,0.157,,Y,suspicious_and_no_semantic_match:0.157
qa,REQ-024-HLJ-Chunk_1-Item_4-v1.0,req-024,opus4,tags_v1,0.88,,none,no,yes,"no_context, unvalidated",1,0.141,,Y,suspicious_and_no_semantic_match:0.141
api,REQ-024-HLJ-Chunk_1-Item_10-v1.0,req-024,opus4,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.196,,Y,suspicious_and_no_semantic_match:0.196
optimization,REQ-024-HLJ-Chunk_2-Item_2-v1.0,req-024,opus4,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.135,,Y,suspicious_and_no_semantic_match:0.135
reliability,REQ-024-HLJ-Chunk_2-Item_6-v1.0,req-024,opus4,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,0.129,,Y,suspicious_and_no_semantic_match:0.129
reliability,REQ-024-HLJ-Chunk_2-Item_7-v1.0,req-024,opus4,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,0.129,,Y,suspicious_and_no_semantic_match:0.129
failover,REQ-024-HLJ-Chunk_2-Item_7-v1.0,req-024,opus4,tags_v1,0.94,,none,no,yes,"no_context, unvalidated",1,0.127,,Y,suspicious_and_no_semantic_match:0.127
ux,REQ-024-HLJ-Chunk_2-Item_8-v1.0,req-024,opus4,tags_v1,0.86,,none,no,yes,"no_context, unvalidated",1,0.109,,Y,suspicious_and_no_semantic_match:0.109
legal,REQ-024-HLJ-Chunk_2-Item_9-v1.0,req-024,opus4,tags_v1,0.94,,none,no,yes,"no_context, unvalidated",1,0.023,,Y,suspicious_and_no_semantic_match:0.023
logging,REQ-024-HLJ-Chunk_2-Item_10-v1.0,req-024,opus4,tags_v1,0.95,,none,no,yes,"no_context, unvalidated",1,0.192,,Y,suspicious_and_no_semantic_match:0.192
ux,REQ-024-HLJ-Chunk_3-Item_1-v1.0,req-024,opus4,tags_v1,0.87,,none,no,yes,"no_context, unvalidated",1,0.109,,Y,suspicious_and_no_semantic_match:0.109
ux,REQ-024-HLJ-Chunk_3-Item_3-v1.0,req-024,opus4,tags_v1,0.87,,none,no,yes,"no_context, unvalidated",1,0.109,,Y,suspicious_and_no_semantic_match:0.109
ux,REQ-002-HLJ-Chunk_1-Item_2-v1.0,req-002,opus4,tags_v1,0.86,,none,no,yes,"no_context, unvalidated",1,0.107,,Y,suspicious_and_no_semantic_match:0.107
ux,REQ-002-HLJ-Chunk_1-Item_3-v1.0,req-002,opus4,tags_v1,0.88,,none,no,yes,"no_context, unvalidated",1,0.107,,Y,suspicious_and_no_semantic_match:0.107
ux,REQ-002-HLJ-Chunk_1-Item_5-v1.0,req-002,opus4,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.107,,Y,suspicious_and_no_semantic_match:0.107
logging,REQ-002-HLJ-Chunk_2-Item_2-v1.0,req-002,opus4,tags_v1,0.93,,none,no,yes,"no_context, unvalidated",1,0.091,,Y,suspicious_and_no_semantic_match:0.091
ux,REQ-002-HLJ-Chunk_2-Item_3-v1.0,req-002,opus4,tags_v1,0.93,,none,no,yes,"no_context, unvalidated",1,0.107,,Y,suspicious_and_no_semantic_match:0.107
ux,REQ-002-HLJ-Chunk_2-Item_4-v1.0,req-002,opus4,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.107,,Y,suspicious_and_no_semantic_match:0.107
i18n,REQ-002-HLJ-Chunk_2-Item_4-v1.0,req-002,opus4,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.035,,Y,suspicious_and_no_semantic_match:0.035
error-handling,REQ-005-HLJ-Chunk_1-Item_3-v1.0,req-005,opus4,tags_v1,0.96,,none,no,yes,"no_context, unvalidated",1,0.080,,Y,suspicious_and_no_semantic_match:0.080
concurrency,REQ-005-HLJ-Chunk_1-Item_7-v1.0,req-005,opus4,tags_v1,0.93,,none,no,yes,"no_context, unvalidated",1,0.169,,Y,suspicious_and_no_semantic_match:0.169
reliability,REQ-005-HLJ-Chunk_2-Item_2-v1.0,req-005,opus4,tags_v1,0.93,,none,no,yes,"no_context, unvalidated",1,0.095,,Y,suspicious_and_no_semantic_match:0.095
reliability,REQ-005-HLJ-Chunk_2-Item_6-v1.0,req-005,opus4,tags_v1,0.94,,none,no,yes,"no_context, unvalidated",1,0.095,,Y,suspicious_and_no_semantic_match:0.095
error-handling,REQ-005-HLJ-Chunk_2-Item_7-v1.0,req-005,opus4,tags_v1,0.95,,none,no,yes,"no_context, unvalidated",1,0.080,,Y,suspicious_and_no_semantic_match:0.080
reliability,REQ-005-HLJ-Chunk_2-Item_7-v1.0,req-005,opus4,tags_v1,0.93,,none,no,yes,"no_context, unvalidated",1,0.095,,Y,suspicious_and_no_semantic_match:0.095
dependency,REQ-005-HLJ-Chunk_2-Item_10-v1.0,req-005,opus4,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.038,,Y,suspicious_and_no_semantic_match:0.038
rbac,REQ-004-HLJ-Chunk_1-Item_9-v1.0,req-004,opus4,tags_v1,0.93,,none,no,yes,"no_context, unvalidated",1,0.090,,Y,suspicious_and_no_semantic_match:0.090
cryptography,REQ-004-HLJ-Chunk_1-Item_10-v1.0,req-004,opus4,tags_v1,0.96,,none,no,yes,"no_context, unvalidated",1,0.123,,Y,suspicious_and_no_semantic_match:0.123
edge-cases,REQ-004-HLJ-Chunk_2-Item_5-v1.0,req-004,opus4,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,-0.051,,Y,suspicious_and_no_semantic_match:-0.051
configuration,REQ-003-HLJ-Chunk_1-Item_1-v1.0,req-003,opus4,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.148,,Y,suspicious_and_no_semantic_match:0.148
ml,REQ-003-HLJ-Chunk_1-Item_3-v1.0,req-003,opus4,tags_v1,0.86,,none,no,yes,"no_context, unvalidated",1,0.119,,Y,suspicious_and_no_semantic_match:0.119
realtime,REQ-003-HLJ-Chunk_1-Item_4-v1.0,req-003,opus4,tags_v1,0.93,,none,no,yes,"no_context, unvalidated",1,0.120,,Y,suspicious_and_no_semantic_match:0.120
integration,REQ-003-HLJ-Chunk_1-Item_6-v1.0,req-003,opus4,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.087,,Y,suspicious_and_no_semantic_match:0.087
ml,REQ-003-HLJ-Chunk_1-Item_9-v1.0,req-003,opus4,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,0.119,,Y,suspicious_and_no_semantic_match:0.119
optimization,REQ-003-HLJ-Chunk_1-Item_9-v1.0,req-003,opus4,tags_v1,0.87,,none,no,yes,"no_context, unvalidated",1,0.091,,Y,suspicious_and_no_semantic_match:0.091
performance,REQ-003-HLJ-Chunk_1-Item_10-v1.0,req-003,opus4,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,0.078,,Y,suspicious_and_no_semantic_match:0.078
edge-cases,REQ-017-HLJ-Chunk_1-Item_6-v1.0,req-017,opus4,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.013,,Y,suspicious_and_no_semantic_match:0.013
analytics,REQ-017-HLJ-Chunk_2-Item_1-v1.0,req-017,opus4,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.175,,Y,suspicious_and_no_semantic_match:0.175
workflow,REQ-021-HLJ-Chunk_1-Item_4-v1.0,req-021,opus4,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.180,,Y,suspicious_and_no_semantic_match:0.180
messaging,REQ-021-HLJ-Chunk_1-Item_6-v1.0,req-021,opus4,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.182,,Y,suspicious_and_no_semantic_match:0.182
backend,REQ-021-HLJ-Chunk_1-Item_6-v1.0,req-021,opus4,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.192,,Y,suspicious_and_no_semantic_match:0.192
workflow,REQ-021-HLJ-Chunk_1-Item_8-v1.0,req-021,opus4,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.180,,Y,suspicious_and_no_semantic_match:0.180
backend,REQ-021-HLJ-Chunk_1-Item_9-v1.0,req-021,opus4,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.192,,Y,suspicious_and_no_semantic_match:0.192
frontend,REQ-021-HLJ-Chunk_2-Item_1-v1.0,req-021,opus4,tags_v1,0.87,,none,no,yes,"no_context, unvalidated",1,0.178,,Y,suspicious_and_no_semantic_match:0.178
workflow,REQ-021-HLJ-Chunk_2-Item_3-v1.0,req-021,opus4,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.180,,Y,suspicious_and_no_semantic_match:0.180
collaboration,REQ-021-HLJ-Chunk_2-Item_3-v1.0,req-021,opus4,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.146,,Y,suspicious_and_no_semantic_match:0.146
frontend,REQ-021-HLJ-Chunk_2-Item_4-v1.0,req-021,opus4,tags_v1,0.88,,none,no,yes,"no_context, unvalidated",1,0.178,,Y,suspicious_and_no_semantic_match:0.178
scalability,REQ-021-HLJ-Chunk_2-Item_5-v1.0,req-021,opus4,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.151,,Y,suspicious_and_no_semantic_match:0.151
backend,REQ-019-HLJ-Chunk_1-Item_2-v1.0,req-019,opus4,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.147,,Y,suspicious_and_no_semantic_match:0.147
automation,REQ-019-HLJ-Chunk_1-Item_4-v1.0,req-019,opus4,tags_v1,0.94,,none,no,yes,"no_context, unvalidated",1,0.040,,Y,suspicious_and_no_semantic_match:0.040
algorithms,REQ-019-HLJ-Chunk_1-Item_5-v1.0,req-019,opus4,tags_v1,0.93,,none,no,yes,"no_context, unvalidated",1,0.083,,Y,suspicious_and_no_semantic_match:0.083
algorithms,REQ-019-HLJ-Chunk_1-Item_6-v1.0,req-019,opus4,tags_v1,0.93,,none,no,yes,"no_context, unvalidated",1,0.083,,Y,suspicious_and_no_semantic_match:0.083
configuration,REQ-019-HLJ-Chunk_1-Item_7-v1.0,req-019,opus4,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.044,,Y,suspicious_and_no_semantic_match:0.044
deduplication,REQ-019-HLJ-Chunk_1-Item_8-v1.0,req-019,opus4,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,0.076,,Y,suspicious_and_no_semantic_match:0.076
configuration,REQ-019-HLJ-Chunk_2-Item_6-v1.0,req-019,opus4,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.044,,Y,suspicious_and_no_semantic_match:0.044
database,REQ-019-HLJ-Chunk_2-Item_7-v1.0,req-019,opus4,tags_v1,0.94,,none,no,yes,"no_context, unvalidated",1,0.138,,Y,suspicious_and_no_semantic_match:0.138
config,REQ-018-HLJ-Chunk_1-Item_3-v1.0,req-018,opus4,tags_v1,0.88,,none,no,yes,"no_context, unvalidated",1,0.130,,Y,suspicious_and_no_semantic_match:0.130
config,REQ-018-HLJ-Chunk_1-Item_5-v1.0,req-018,opus4,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.130,,Y,suspicious_and_no_semantic_match:0.130
safety,REQ-018-HLJ-Chunk_1-Item_8-v1.0,req-018,opus4,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,0.033,,Y,suspicious_and_no_semantic_match:0.033
realtime,REQ-018-HLJ-Chunk_2-Item_1-v1.0,req-018,opus4,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.066,,Y,suspicious_and_no_semantic_match:0.066
safety,REQ-018-HLJ-Chunk_2-Item_7-v1.0,req-018,opus4,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,0.033,,Y,suspicious_and_no_semantic_match:0.033
api-key,REQ-020-HLJ-Chunk_1-Item_3-v1.0,req-020,opus4,tags_v1,0.94,,none,no,yes,"no_context, unvalidated",1,0.129,,Y,suspicious_and_no_semantic_match:0.129
dry-run,REQ-020-HLJ-Chunk_1-Item_4-v1.0,req-020,opus4,tags_v1,0.96,,none,no,yes,"no_context, unvalidated",1,0.072,,Y,suspicious_and_no_semantic_match:0.072
names,REQ-020-HLJ-Chunk_1-Item_7-v1.0,req-020,opus4,tags_v1,0.93,,none,no,yes,"no_context, unvalidated",1,0.105,,Y,suspicious_and_no_semantic_match:0.105
user-action,REQ-020-HLJ-Chunk_1-Item_8-v1.0,req-020,opus4,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.028,,Y,suspicious_and_no_semantic_match:0.028
logging,REQ-020-HLJ-Chunk_2-Item_11-v1.0,req-020,opus4,tags_v1,0.95,,none,no,yes,"no_context, unvalidated",1,0.137,,Y,suspicious_and_no_semantic_match:0.137
compliance,REQ-020-HLJ-Chunk_2-Item_11-v1.0,req-020,opus4,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.157,,Y,suspicious_and_no_semantic_match:0.157
data-recovery,REQ-020-HLJ-Chunk_2-Item_13-v1.0,req-020,opus4,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,0.159,,Y,suspicious_and_no_semantic_match:0.159
user-guide,REQ-020-HLJ-Chunk_2-Item_14-v1.0,req-020,opus4,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.136,,Y,suspicious_and_no_semantic_match:0.136
rbac,REQ-016-HLJ-Chunk_1-Item_1-v1.0,req-016,opus4,tags_v1,0.96,,none,no,yes,"no_context, unvalidated",1,0.135,,Y,suspicious_and_no_semantic_match:0.135
rbac,REQ-016-HLJ-Chunk_1-Item_2-v1.0,req-016,opus4,tags_v1,0.95,,none,no,yes,"no_context, unvalidated",1,0.135,,Y,suspicious_and_no_semantic_match:0.135
rbac,REQ-016-HLJ-Chunk_1-Item_3-v1.0,req-016,opus4,tags_v1,0.97,,none,no,yes,"no_context, unvalidated",1,0.135,,Y,suspicious_and_no_semantic_match:0.135
automation,REQ-016-HLJ-Chunk_1-Item_3-v1.0,req-016,opus4,tags_v1,0.94,,none,no,yes,"no_context, unvalidated",1,0.066,,Y,suspicious_and_no_semantic_match:0.066
platform connectivity,REQ-008-HLJ-Chunk_1-Item_1-v1.0,req-008,meta70b,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",2,0.188,,Y,suspicious_and_no_semantic_match:0.188
data accuracy,REQ-008-HLJ-Chunk_1-Item_5-v1.0,req-008,meta70b,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",2,0.125,,Y,suspicious_and_no_semantic_match:0.125
data protection,REQ-008-HLJ-Chunk_2-Item_7-v1.0,req-008,meta70b,tags_v1,,summary,semantic,no,yes,low_confidence,2,0.196,,Y,suspicious_and_no_semantic_match:0.196
data protection,REQ-008-HLJ-Chunk_2-Item_7-v1.0,req-008,meta70b,tags_v2,,summary,semantic,no,yes,low_confidence,2,0.196,,Y,suspicious_and_no_semantic_match:0.196
tracking,REQ-008-HLJ-Chunk_2-Item_9-v1.0,req-008,meta70b,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.081,,Y,suspicious_and_no_semantic_match:0.081
logs,REQ-008-HLJ-Chunk_2-Item_9-v1.0,req-008,meta70b,tags_v2,,,,no,yes,"low_confidence, no_context, unvalidated",1,0.113,,Y,suspicious_and_no_semantic_match:0.113
compatibility,REQ-030-HLJ-Chunk_1-Item_1-v1.0,req-030,meta70b,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.070,,Y,suspicious_and_no_semantic_match:0.070
quality_assurance,REQ-030-HLJ-Chunk_1-Item_2-v1.0,req-030,meta70b,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.188,,Y,suspicious_and_no_semantic_match:0.188
error_reporting,REQ-030-HLJ-Chunk_2-Item_1-v1.0,req-030,meta70b,tags_v1,0.95,,none,no,yes,"no_context, unvalidated",1,0.104,,Y,suspicious_and_no_semantic_match:0.104
quality_assurance,REQ-030-HLJ-Chunk_2-Item_1-v1.0,req-030,meta70b,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.188,,Y,suspicious_and_no_semantic_match:0.188
data_protection,REQ-030-HLJ-Chunk_2-Item_2-v1.0,req-030,meta70b,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.024,,Y,suspicious_and_no_semantic_match:0.024
logging,REQ-006-HLJ-Chunk_1-Item_6-v1.0,req-006,meta70b,tags_v1,,raw_requirement,direct,no,yes,low_confidence,1,0.108,,Y,suspicious_and_no_semantic_match:0.108
recovery,REQ-007-HLJ-Chunk_1-Item_2-v1.0,req-007,meta70b,tags_v1,,,none,no,yes,"low_confidence, no_context, unvalidated",1,0.079,,Y,suspicious_and_no_semantic_match:0.079
ux,REQ-007-HLJ-Chunk_1-Item_5-v1.0,req-007,meta70b,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.142,,Y,suspicious_and_no_semantic_match:0.142
communication,REQ-007-HLJ-Chunk_1-Item_5-v1.0,req-007,meta70b,tags_v1,,title,direct,no,yes,low_confidence,1,-0.019,,Y,suspicious_and_no_semantic_match:-0.019
communication,REQ-007-HLJ-Chunk_1-Item_5-v1.0,req-007,meta70b,tags_v2,,title,direct,no,yes,low_confidence,1,-0.019,,Y,suspicious_and_no_semantic_match:-0.019
quality,REQ-007-HLJ-Chunk_1-Item_6-v1.0,req-007,meta70b,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,0.034,,Y,suspicious_and_no_semantic_match:0.034
edge-cases,REQ-007-HLJ-Chunk_1-Item_9-v1.0,req-007,meta70b,tags_v1,,source_fragment,semantic,no,yes,low_confidence,1,0.040,,Y,suspicious_and_no_semantic_match:0.040
edge case,REQ-007-HLJ-Chunk_1-Item_9-v1.0,req-007,meta70b,tags_v2,,,,no,yes,"low_confidence, no_context, unvalidated",2,0.025,,Y,suspicious_and_no_semantic_match:0.025
manual-review,REQ-007-HLJ-Chunk_1-Item_10-v1.0,req-007,meta70b,tags_v1,,title,semantic,no,yes,low_confidence,1,0.126,,Y,suspicious_and_no_semantic_match:0.126
manual-review,REQ-007-HLJ-Chunk_1-Item_10-v1.0,req-007,meta70b,tags_v2,,title,semantic,no,yes,low_confidence,1,0.126,,Y,suspicious_and_no_semantic_match:0.126
crossborder,REQ-009-HLJ-Chunk_1-Item_1-v1.0,req-009,meta70b,tags_v1,,,none,no,yes,"low_confidence, no_context, unvalidated",1,0.164,,Y,suspicious_and_no_semantic_match:0.164
crossborder,REQ-009-HLJ-Chunk_1-Item_2-v1.0,req-009,meta70b,tags_v1,,,none,no,yes,"low_confidence, no_context, unvalidated",1,0.164,,Y,suspicious_and_no_semantic_match:0.164
crossborder,REQ-009-HLJ-Chunk_1-Item_3-v1.0,req-009,meta70b,tags_v1,,,none,no,yes,"low_confidence, no_context, unvalidated",1,0.164,,Y,suspicious_and_no_semantic_match:0.164
crossborder,REQ-009-HLJ-Chunk_1-Item_4-v1.0,req-009,meta70b,tags_v1,,,none,no,yes,"low_confidence, no_context, unvalidated",1,0.164,,Y,suspicious_and_no_semantic_match:0.164
crossborder,REQ-009-HLJ-Chunk_1-Item_5-v1.0,req-009,meta70b,tags_v1,,,none,no,yes,"low_confidence, no_context, unvalidated",1,0.164,,Y,suspicious_and_no_semantic_match:0.164
crossborder,REQ-009-HLJ-Chunk_1-Item_6-v1.0,req-009,meta70b,tags_v1,,,none,no,yes,"low_confidence, no_context, unvalidated",1,0.164,,Y,suspicious_and_no_semantic_match:0.164
crossborder,REQ-009-HLJ-Chunk_1-Item_7-v1.0,req-009,meta70b,tags_v1,,,none,no,yes,"low_confidence, no_context, unvalidated",1,0.164,,Y,suspicious_and_no_semantic_match:0.164
crossborder,REQ-009-HLJ-Chunk_1-Item_8-v1.0,req-009,meta70b,tags_v1,,,none,no,yes,"low_confidence, no_context, unvalidated",1,0.164,,Y,suspicious_and_no_semantic_match:0.164
crossborder,REQ-009-HLJ-Chunk_1-Item_9-v1.0,req-009,meta70b,tags_v1,,,none,no,yes,"low_confidence, no_context, unvalidated",1,0.164,,Y,suspicious_and_no_semantic_match:0.164
crossborder,REQ-009-HLJ-Chunk_1-Item_10-v1.0,req-009,meta70b,tags_v1,,,none,no,yes,"low_confidence, no_context, unvalidated",1,0.164,,Y,suspicious_and_no_semantic_match:0.164
crossborder,REQ-009-HLJ-Chunk_2-Item_2-v1.0,req-009,meta70b,tags_v1,0.92,,none,no,yes,"no_context, unvalidated",1,0.164,,Y,suspicious_and_no_semantic_match:0.164
edgecases,REQ-009-HLJ-Chunk_2-Item_3-v1.0,req-009,meta70b,tags_v1,0.94,,none,no,yes,"no_context, unvalidated",1,0.052,,Y,suspicious_and_no_semantic_match:0.052
crossborder,REQ-009-HLJ-Chunk_2-Item_3-v1.0,req-009,meta70b,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.164,,Y,suspicious_and_no_semantic_match:0.164
crossborder,REQ-009-HLJ-Chunk_2-Item_4-v1.0,req-009,meta70b,tags_v1,0.85,,none,no,yes,"no_context, unvalidated",1,0.164,,Y,suspicious_and_no_semantic_match:0.164
delivery,REQ-009-HLJ-Chunk_2-Item_5-v1.0,req-009,meta70b,tags_v1,0.95,,none,no,yes,"no_context, unvalidated",1,0.124,,Y,suspicious_and_no_semantic_match:0.124
crossborder,REQ-009-HLJ-Chunk_2-Item_5-v1.0,req-009,meta70b,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.164,,Y,suspicious_and_no_semantic_match:0.164
customization,REQ-014-HLJ-Chunk_2-Item_7-v1.0,req-014,meta70b,tags_v1,,,none,no,yes,"low_confidence, no_context, unvalidated",1,0.114,,Y,suspicious_and_no_semantic_match:0.114
resolution,REQ-014-HLJ-Chunk_2-Item_10-v1.0,req-014,meta70b,tags_v1,,mapped_concepts,direct,no,yes,low_confidence,1,0.008,,Y,suspicious_and_no_semantic_match:0.008
resolution,REQ-014-HLJ-Chunk_2-Item_10-v1.0,req-014,meta70b,tags_v2,,mapped_concepts,direct,no,yes,low_confidence,1,0.008,,Y,suspicious_and_no_semantic_match:0.008
logs,REQ-014-HLJ-Chunk_2-Item_12-v1.0,req-014,meta70b,tags_v2,,,,no,yes,"low_confidence, no_context, unvalidated",1,0.082,,Y,suspicious_and_no_semantic_match:0.082
auditrail,REQ-013-HLJ-Chunk_1-Item_4-v1.0,req-013,meta70b,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.175,,Y,suspicious_and_no_semantic_match:0.175
admindashboard,REQ-013-HLJ-Chunk_1-Item_5-v1.0,req-013,meta70b,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.079,,Y,suspicious_and_no_semantic_match:0.079
riskmanagement,REQ-013-HLJ-Chunk_2-Item_1-v1.0,req-013,meta70b,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.123,,Y,suspicious_and_no_semantic_match:0.123
sensitiveoperations,REQ-013-HLJ-Chunk_2-Item_2-v1.0,req-013,meta70b,tags_v1,,,none,no,yes,"low_confidence, no_context, unvalidated",1,0.087,,Y,suspicious_and_no_semantic_match:0.087
cryptography,REQ-013-HLJ-Chunk_2-Item_2-v1.0,req-013,meta70b,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.068,,Y,suspicious_and_no_semantic_match:0.068
edgecases,REQ-013-HLJ-Chunk_2-Item_3-v1.0,req-013,meta70b,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.078,,Y,suspicious_and_no_semantic_match:0.078
mixedcurrencypayouts,REQ-013-HLJ-Chunk_2-Item_3-v1.0,req-013,meta70b,tags_v1,,,none,no,yes,"low_confidence, no_context, unvalidated",1,0.197,,Y,suspicious_and_no_semantic_match:0.197
dataretention,REQ-013-HLJ-Chunk_2-Item_5-v1.0,req-013,meta70b,tags_v1,,,none,no,yes,"low_confidence, no_context, unvalidated",1,0.067,,Y,suspicious_and_no_semantic_match:0.067
qualityassurance,REQ-013-HLJ-Chunk_2-Item_7-v1.0,req-013,meta70b,tags_v1,,,none,no,yes,"low_confidence, no_context, unvalidated",1,0.069,,Y,suspicious_and_no_semantic_match:0.069
