canonical_tag,alias,method,similarity,cluster_id,version
integration,integrations,cluster+sbert,0.915,all_0,v3
integration,integration,self,1.000,all_0,v3
gig-economy,gig-economy,self,1.000,all_1,v3
data-verification,data-verification,self,1.000,all_2,v3
aggregation,aggregation,self,1.000,all_3,v3
normalization,data-normalization,cluster+sbert,0.887,all_4,v3
normalization,normalization,self,1.000,all_4,v3
eligibility,eligibility rules,cluster+sbert,0.865,all_5,v3
eligibility,eligibility,self,1.000,all_5,v3
risk,risk,self,1.000,all_6,v3
rules-engine,rules-engine,self,1.000,all_7,v3
admin,admin,self,1.000,all_8,v3
rule-management,rule-management,self,1.000,all_9,v3
kyc,kyc,self,1.000,all_10,v3
aml,aml,self,1.000,all_11,v3
compliance,compliancereporting,cluster+sbert,0.858,all_12,v3
compliance,compliance monitoring,cluster,0.812,all_12,v3
compliance,compliance,self,1.000,all_12,v3
fraud,fraud,self,1.000,all_13,v3
detection,detection,self,1.000,all_14,v3
consent,consent,self,1.000,all_15,v3
user_experience,user-experience,cluster,0.817,all_16,v3
user_experience,user experience,cluster,0.793,all_16,v3
user_experience,user_experience,self,1.000,all_16,v3
dispute,dispute,self,1.000,all_17,v3
privacy,privacy laws,cluster+sbert,0.836,all_18,v3
privacy,privacy,self,1.000,all_18,v3
regulation,regulatory,cluster+sbert,0.854,all_19,v3
regulation,regulation,self,1.000,all_19,v3
encryption,encryption,self,1.000,all_20,v3
rbac,rbac,self,1.000,all_21,v3
dashboard,dashboards,cluster+sbert,0.926,all_22,v3
dashboard,dashboard,self,1.000,all_22,v3
monitoring,monitoring,self,1.000,all_23,v3
logging,logs,cluster+sbert,0.886,all_24,v3
logging,logging,self,1.000,all_24,v3
audit,auditability,cluster,0.806,all_25,v3
audit,audit,self,1.000,all_25,v3
ui_testing,ui-testing,cluster+sbert,0.840,all_26,v3
ui_testing,ui_testing,self,1.000,all_26,v3
parallel,parallel,self,1.000,all_27,v3
staging,staging,self,1.000,all_28,v3
ci/cd,ci-cd,cluster+sbert,0.927,all_29,v3
ci/cd,ci_cd,cluster+sbert,0.853,all_29,v3
ci/cd,ci/cd,self,1.000,all_29,v3
blocking,blocking,self,1.000,all_30,v3
coverage,coverage,self,1.000,all_31,v3
analytics,analytics,self,1.000,all_32,v3
visualization,visualization,self,1.000,all_33,v3
screenshots,screenshots,self,1.000,all_34,v3
video,video,self,1.000,all_35,v3
flakiness,flakiness,self,1.000,all_36,v3
recommendations,recommendations,self,1.000,all_37,v3
headless,headless,self,1.000,all_38,v3
quarantine,quarantine,self,1.000,all_39,v3
documentation,documentation,self,1.000,all_40,v3
testing-guides,testing-guides,self,1.000,all_41,v3
browser-matrix,browser-matrix,self,1.000,all_42,v3
communication,communication,self,1.000,all_43,v3
security,security,self,1.000,all_44,v3
artifacts,artifacts,self,1.000,all_45,v3
accessibility,accessibility,self,1.000,all_46,v3
rate-limiting,rate_limiting,cluster+sbert,0.910,all_47,v3
rate-limiting,rate-limit,cluster+sbert,0.939,all_47,v3
rate-limiting,rate limiting,cluster+sbert,0.984,all_47,v3
rate-limiting,rate limit,cluster+sbert,0.930,all_47,v3
rate-limiting,rate limit policies,cluster+sbert,0.831,all_47,v3
rate-limiting,rate-limiting,self,1.000,all_47,v3
configuration,config,cluster+sbert,0.884,all_48,v3
configuration,configuration,self,1.000,all_48,v3
real-time,real-time,self,1.000,all_49,v3
enforcement,enforcement,self,1.000,all_50,v3
feedback,feedback,self,1.000,all_51,v3
api,apis,cluster+sbert,0.916,all_52,v3
api,api,self,1.000,all_52,v3
alert,alerting,cluster+sbert,0.917,all_53,v3
alert,alerts,cluster+sbert,0.901,all_53,v3
alert,alert,self,1.000,all_53,v3
self-service,self-service,self,1.000,all_54,v3
reporting,reporting,self,1.000,all_55,v3
support,support,self,1.000,all_56,v3
availability,availability,self,1.000,all_57,v3
fallback,fallback,self,1.000,all_58,v3
rollback,rollout,cluster,0.817,all_59,v3
rollback,rollouts,cluster,0.780,all_59,v3
rollback,rollback,self,1.000,all_59,v3
testing,testing,self,1.000,all_60,v3
developer-experience,developer-experience,self,1.000,all_61,v3
migration,migration,self,1.000,all_62,v3
compatibility,compatibility,self,1.000,all_63,v3
legacy,legacy,self,1.000,all_64,v3
performance,performance,self,1.000,all_65,v3
latency,latency,self,1.000,all_66,v3
legal,legal,self,1.000,all_67,v3
rest,restful,cluster,0.824,all_68,v3
rest,rest,self,1.000,all_68,v3
spec,spec,self,1.000,all_69,v3
filter,filtering,cluster+sbert,0.912,all_70,v3
filter,filters,cluster+sbert,0.911,all_70,v3
filter,filter,self,1.000,all_70,v3
pagination,pagination,self,1.000,all_71,v3
openapi,openapi,self,1.000,all_72,v3
deduplication,deduplication,self,1.000,all_73,v3
schema,schema,self,1.000,all_74,v3
data,data,self,1.000,all_75,v3
timezone,timezone,self,1.000,all_76,v3
metadata,metadata,self,1.000,all_77,v3
oauth,oauth,self,1.000,all_78,v3
authentication,authentication,self,1.000,all_79,v3
error,error,self,1.000,all_80,v3
screening,screening,self,1.000,all_81,v3
onboarding,onboarding,self,1.000,all_82,v3
notification,notifications,cluster+sbert,0.915,all_83,v3
notification,user-notification,cluster+sbert,0.860,all_83,v3
notification,notification,self,1.000,all_83,v3
traceability,traceability,self,1.000,all_84,v3
immutability,immutable,cluster+sbert,0.931,all_85,v3
immutability,immutability,self,1.000,all_85,v3
scheduled payments,scheduled payments,self,1.000,all_86,v3
ui,ui,self,1.000,all_87,v3
fx,fx,self,1.000,all_88,v3
lock,locking,cluster+sbert,0.921,all_89,v3
lock,lock,self,1.000,all_89,v3
countdown,countdown,self,1.000,all_90,v3
validation,validation,self,1.000,all_91,v3
refund,refunds,cluster+sbert,0.890,all_92,v3
refund,refund,self,1.000,all_92,v3
cancellation,cancellation,self,1.000,all_93,v3
usability,usability,self,1.000,all_94,v3
retry,retry,self,1.000,all_95,v3
sla,sla,self,1.000,all_96,v3
beta,beta,self,1.000,all_97,v3
delivery,delivery,self,1.000,all_98,v3
implementation,implementation,self,1.000,all_99,v3
oracle,oracle,self,1.000,all_100,v3
advanced,advanced,self,1.000,all_101,v3
reliability,reliability,self,1.000,all_102,v3
engine,engine,self,1.000,all_103,v3
batch,batchprocessing,cluster,0.808,all_104,v3
batch,batchpayouts,cluster,0.816,all_104,v3
batch,batch,self,1.000,all_104,v3
scheduling,scheduling,self,1.000,all_105,v3
failure,failure,self,1.000,all_106,v3
atomicity,atomicity,self,1.000,all_107,v3
consistency,consistency,self,1.000,all_108,v3
partial,partial,self,1.000,all_109,v3
exception,exception,self,1.000,all_110,v3
status,status,self,1.000,all_111,v3
access,access,self,1.000,all_112,v3
instrumentation,instrumentation,self,1.000,all_113,v3
timing,timing,self,1.000,all_114,v3
segmentation,segmentation,self,1.000,all_115,v3
metrics,metrics,self,1.000,all_116,v3
diagnostics,diagnostics,self,1.000,all_117,v3
regression,regression,self,1.000,all_118,v3
remediation,remediation,self,1.000,all_119,v3
resilience,resilience,self,1.000,all_120,v3
external,external,self,1.000,all_121,v3
prompt,prompt,self,1.000,all_122,v3
transparency,transparency,self,1.000,all_123,v3
retention,retention,self,1.000,all_124,v3
policy,policy,self,1.000,all_125,v3
export,export,self,1.000,all_126,v3
roles,roles,self,1.000,all_127,v3
masking,masking,self,1.000,all_128,v3
data-protection,data_protection,cluster,0.811,all_129,v3
data-protection,data-protection,self,1.000,all_129,v3
anomaly,anomaly,self,1.000,all_130,v3
docs,docs,self,1.000,all_131,v3
abuse,abuse,self,1.000,all_132,v3
feature-flags,feature flags,cluster+sbert,0.983,all_133,v3
feature-flags,feature-flags,self,1.000,all_133,v3
scalable,scalability,cluster+sbert,0.919,all_134,v3
scalable,scalable,self,1.000,all_134,v3
geo-segmentation,geo-segmentation,self,1.000,all_135,v3
deployment,deployment,self,1.000,all_136,v3
progressive-rollout,progressive-rollout,self,1.000,all_137,v3
portal,portal,self,1.000,all_138,v3
geo-ip,geo-ip,self,1.000,all_139,v3
location-resolution,location-resolution,self,1.000,all_140,v3
real-time-analytics,real-time analytics,cluster+sbert,0.991,all_141,v3
real-time-analytics,real-time monitoring,cluster,0.814,all_141,v3
real-time-analytics,real-time-analytics,self,1.000,all_141,v3
kpi-tracking,kpi-tracking,self,1.000,all_142,v3
training,training,self,1.000,all_143,v3
enablement,enablement,self,1.000,all_144,v3
changelog,changelog,self,1.000,all_145,v3
template,template,self,1.000,all_146,v3
multi-language,multi-language,self,1.000,all_147,v3
personalization,personalization,self,1.000,all_148,v3
automation,automation,self,1.000,all_149,v3
multi-channel,multi-channel,self,1.000,all_150,v3
opt-out,opt-out,self,1.000,all_151,v3
gst,gst,self,1.000,all_152,v3
rates,rates,self,1.000,all_153,v3
dual-tax,dual-tax,self,1.000,all_154,v3
invoice,invoicing,cluster+sbert,0.854,all_155,v3
invoice,invoices,cluster+sbert,0.891,all_155,v3
invoice,invoice,self,1.000,all_155,v3
multi-rate,multi-rate,self,1.000,all_156,v3
exemption,exemptions,cluster+sbert,0.963,all_157,v3
exemption,exemption,self,1.000,all_157,v3
retroactive,retroactive,self,1.000,all_158,v3
webhook,webhooks,cluster+sbert,0.965,all_159,v3
webhook,webhook,self,1.000,all_159,v3
registration,registration,self,1.000,all_160,v3
customization,customization,self,1.000,all_161,v3
verification,verification,self,1.000,all_162,v3
backend,backend,self,1.000,all_163,v3
maintainability,maintainability,self,1.000,all_164,v3
operational,operational,self,1.000,all_165,v3
sync,synchronization,cluster,0.805,all_166,v3
sync,sync,self,1.000,all_166,v3
authorization,authorization,self,1.000,all_167,v3
gdpr,gdpr,self,1.000,all_168,v3
classification,classification,self,1.000,all_169,v3
right-to-erasure,right-to-erasure,self,1.000,all_170,v3
deletion,deletion,self,1.000,all_171,v3
redaction,redaction,self,1.000,all_172,v3
meta-log,meta-log,self,1.000,all_173,v3
access-control,access control,cluster+sbert,0.977,all_174,v3
access-control,access-control,self,1.000,all_174,v3
integrity,integrity,self,1.000,all_175,v3
micro-transaction,micro-transaction,self,1.000,all_176,v3
rules,rules,self,1.000,all_177,v3
details,details,self,1.000,all_178,v3
false-positive,false-positive,self,1.000,all_179,v3
dual-ledger,dual-ledger,self,1.000,all_180,v3
phantom-balance,phantom-balances,cluster+sbert,0.976,all_181,v3
phantom-balance,phantom balance,cluster+sbert,0.958,all_181,v3
phantom-balance,phantom-balance,self,1.000,all_181,v3
segregation,segregation,self,1.000,all_182,v3
lifecycle,lifecycle,self,1.000,all_183,v3
reconciliation,reconciliation,self,1.000,all_184,v3
mismatch,mismatch,self,1.000,all_185,v3
workflow,workflow,self,1.000,all_186,v3
least-privilege,least-privilege,self,1.000,all_187,v3
sox,sox,self,1.000,all_188,v3
pci-dss,pci-dss,self,1.000,all_189,v3
nlp,nlp,self,1.000,all_190,v3
sentiment,sentiment,self,1.000,all_191,v3
urgency,urgency,self,1.000,all_192,v3
escalation,escalation,self,1.000,all_193,v3
routing,routing,self,1.000,all_194,v3
priority,priority,self,1.000,all_195,v3
efficiency,efficiency,self,1.000,all_196,v3
kpi,kpi,self,1.000,all_197,v3
trend,trends,cluster,0.819,all_198,v3
trend,trend,self,1.000,all_198,v3
proration,proration,self,1.000,all_199,v3
billing,billing,self,1.000,all_200,v3
upgrade,upgrades,cluster+sbert,0.880,all_201,v3
upgrade,upgrade,self,1.000,all_201,v3
history,history,self,1.000,all_202,v3
events,events,self,1.000,all_203,v3
tax,taxation,cluster+sbert,0.853,all_204,v3
tax,tax,self,1.000,all_204,v3
plans,plans,self,1.000,all_205,v3
dates,dates,self,1.000,all_206,v3
review,review,self,1.000,all_207,v3
email,email,self,1.000,all_208,v3
comments,commenting,cluster,0.802,all_209,v3
comments,comments,self,1.000,all_209,v3
ux,ux,self,1.000,all_210,v3
cohorts,cohort_definition,cluster+sbert,0.835,all_211,v3
cohorts,cohorts,self,1.000,all_211,v3
persistence,persistence,self,1.000,all_212,v3
weighting,weighting,self,1.000,all_213,v3
settings,settings,self,1.000,all_214,v3
heatmap,heatmap,self,1.000,all_215,v3
overlay,overlay,self,1.000,all_216,v3
nps,nps,self,1.000,all_217,v3
behavioral_intelligence,behavioral-intelligence,cluster+sbert,0.941,all_218,v3
behavioral_intelligence,behavioral_intelligence,self,1.000,all_218,v3
crm,crm,self,1.000,all_219,v3
localization,localization,self,1.000,all_220,v3
inbox,inbox,self,1.000,all_221,v3
tagging,tagging,self,1.000,all_222,v3
assignment,assignment,self,1.000,all_223,v3
manually,manually,self,1.000,all_224,v3
concurrency,concurrency,self,1.000,all_225,v3
search,search,self,1.000,all_226,v3
rtl,rtl,self,1.000,all_227,v3
layout,layout,self,1.000,all_228,v3
components,components,self,1.000,all_229,v3
preview,preview,self,1.000,all_230,v3
override,overrides,cluster+sbert,0.935,all_231,v3
override,override,self,1.000,all_231,v3
mixed-language,mixed-language,self,1.000,all_232,v3
translation,translation,self,1.000,all_233,v3
formatting,formatting,self,1.000,all_234,v3
mirror,mirror,self,1.000,all_235,v3
qa,qa,self,1.000,all_236,v3
auditlogs,auditing,cluster,0.804,all_408,v3
auditlogs,auditlogs,self,1.000,all_408,v3
vendor,vendor,self,1.000,all_237,v3
update,updates,cluster,0.805,all_238,v3
update,update,self,1.000,all_238,v3
import,import,self,1.000,all_239,v3
duplicates,duplicates,self,1.000,all_240,v3
configurable,configurable,self,1.000,all_241,v3
conflict,conflict,self,1.000,all_242,v3
session-tracking,session-tracking,self,1.000,all_243,v3
query-interface,query-interface,self,1.000,all_244,v3
role-consistency,role-consistency,self,1.000,all_245,v3
anomaly-detection,anomaly-detection,self,1.000,all_246,v3
data-integrity,data-integrity,self,1.000,all_247,v3
data-retention,data-retention,self,1.000,all_248,v3
creditworthiness,creditworthiness,self,1.000,all_249,v3
decisioning,decisioning,self,1.000,all_250,v3
emi,emi,self,1.000,all_251,v3
uber,uber,self,1.000,all_252,v3
doordash,doordash,self,1.000,all_253,v3
upwork,upwork,self,1.000,all_254,v3
fiverr,fiverr,self,1.000,all_255,v3
income,income,self,1.000,all_256,v3
currency,multi-currency,cluster,0.803,all_257,v3
currency,currency,self,1.000,all_257,v3
edge_cases,edge-case,cluster+sbert,0.836,all_258,v3
edge_cases,edge case,cluster,0.819,all_258,v3
edge_cases,edge cases,cluster+sbert,0.849,all_258,v3
edge_cases,edge_cases,self,1.000,all_258,v3
identity,identity,self,1.000,all_259,v3
ml,ml,self,1.000,all_260,v3
connection,connection,self,1.000,all_261,v3
earnings,earnings summary,cluster,0.819,all_262,v3
earnings,earnings,self,1.000,all_262,v3
display,display,self,1.000,all_263,v3
operations,operations,self,1.000,all_264,v3
lending,lending,self,1.000,all_265,v3
alternative,alternative,self,1.000,all_266,v3
api-gateway,api gateway,cluster+sbert,0.984,all_267,v3
api-gateway,api-gateway,self,1.000,all_267,v3
infrastructure,infrastructure,self,1.000,all_268,v3
abuse-detection,abuse-detection,self,1.000,all_269,v3
mfa,mfa,self,1.000,all_270,v3
sandbox,sandbox,self,1.000,all_271,v3
client-support,client-support,self,1.000,all_272,v3
endpoint,endpoint,self,1.000,all_273,v3
query,query,self,1.000,all_274,v3
standards,standards,self,1.000,all_275,v3
timestamp,timestamp,self,1.000,all_276,v3
optimization,optimization,self,1.000,all_277,v3
partners,partners,self,1.000,all_278,v3
caching,caching,self,1.000,all_279,v3
state,state,self,1.000,all_280,v3
matching,matching,self,1.000,all_281,v3
manual,manual,self,1.000,all_282,v3
payments,payments,self,1.000,all_283,v3
fx-rates,fx-rates,self,1.000,all_284,v3
rate-lock,rate-lock,self,1.000,all_285,v3
timer,timer,self,1.000,all_286,v3
feature-toggle,feature-toggle,self,1.000,all_287,v3
database,database,self,1.000,all_288,v3
telemetry,telemetry,self,1.000,all_289,v3
middleware,middleware,self,1.000,all_290,v3
storage,storage,self,1.000,all_291,v3
csv,csv,self,1.000,all_292,v3
json,json,self,1.000,all_293,v3
product,product,self,1.000,all_294,v3
developer,developer,self,1.000,all_295,v3
messaging,messaging,self,1.000,all_296,v3
i18n,i18n,self,1.000,all_297,v3
tracking,tracking,self,1.000,all_298,v3
guardian,guardian,self,1.000,all_299,v3
session,session,self,1.000,all_300,v3
coppa,coppa,self,1.000,all_301,v3
mobile,mobile,self,1.000,all_302,v3
responsive,responsive,self,1.000,all_303,v3
content,content,self,1.000,all_304,v3
design,design,self,1.000,all_305,v3
queue,queueing,cluster+sbert,0.943,all_306,v3
queue,queue,self,1.000,all_306,v3
pci,pci,self,1.000,all_307,v3
tools,tools,self,1.000,all_308,v3
pilot,pilot,self,1.000,all_309,v3
lineage,lineage,self,1.000,all_310,v3
patterns,patterns,self,1.000,all_311,v3
slack,slack,self,1.000,all_312,v3
ratelimit,ratelimit,self,1.000,all_313,v3
calculations,calculations,self,1.000,all_314,v3
credits,credits,self,1.000,all_315,v3
subscriptions,subscriptions,self,1.000,all_316,v3
fraud-prevention,fraud-prevention,self,1.000,all_317,v3
pdf,pdf,self,1.000,all_318,v3
highlighting,highlighting,self,1.000,all_319,v3
threading,threading,self,1.000,all_320,v3
deeplink,deeplink,self,1.000,all_321,v3
navigation,navigation,self,1.000,all_322,v3
versioning,version control,cluster,0.804,all_323,v3
versioning,versioning,self,1.000,all_323,v3
warnings,warnings,self,1.000,all_324,v3
collision,collision handling,cluster+sbert,0.834,all_325,v3
collision,collision,self,1.000,all_325,v3
guide,guide,self,1.000,all_326,v3
decay,decay,self,1.000,all_327,v3
logic,logic,self,1.000,all_328,v3
charts,charts,self,1.000,all_329,v3
help,help,self,1.000,all_330,v3
algorithms,algorithms,self,1.000,all_331,v3
model,model,self,1.000,all_332,v3
setup,setup,self,1.000,all_333,v3
salesforce,salesforce,self,1.000,all_334,v3
hubspot,hubspot,self,1.000,all_335,v3
crm-sync,crm-sync,self,1.000,all_336,v3
contacts,contacts,self,1.000,all_337,v3
duplicate-detection,duplicate-detection,self,1.000,all_338,v3
phone,phone,self,1.000,all_339,v3
fuzzy-matching,fuzzy-matching,self,1.000,all_340,v3
duplicate-resolution,duplicate-resolution,self,1.000,all_341,v3
conflict-resolution,conflict-resolution,self,1.000,all_342,v3
data-merge,data-merge,self,1.000,all_343,v3
auto-merge,auto-merge,self,1.000,all_344,v3
preferences,preferences,self,1.000,all_345,v3
sync-control,sync-control,self,1.000,all_346,v3
undo,undo,self,1.000,all_347,v3
2fa,2fa,self,1.000,all_348,v3
api integration,api integration,self,1.000,all_349,v3
gig workers,gig workers,self,1.000,all_350,v3
gig income,gig income,self,1.000,all_351,v3
income verification,income verification,self,1.000,all_352,v3
data connection,data connection,self,1.000,all_353,v3
regulations,regulations,self,1.000,all_354,v3
browser_coverage,browser_coverage,self,1.000,all_355,v3
debugging,debugging,self,1.000,all_356,v3
tenant management,tenant management,self,1.000,all_357,v3
burst limits,burst limits,self,1.000,all_358,v3
real-time updates,real-time updates,self,1.000,all_359,v3
instant feedback,instant feedback,self,1.000,all_360,v3
usage metrics,usage metrics,self,1.000,all_361,v3
multi-factor approval,multi-factor approval,self,1.000,all_362,v3
tenant segment,tenant segment,self,1.000,all_363,v3
sandbox environments,sandbox environments,self,1.000,all_364,v3
openbanking,openbanking,self,1.000,all_365,v3
processing,processing,self,1.000,all_366,v3
sms,sms,self,1.000,all_367,v3
reminders,reminders,self,1.000,all_368,v3
gas-fee,gas-fee,self,1.000,all_369,v3
estimation,estimation,self,1.000,all_370,v3
blockchain,blockchain,self,1.000,all_371,v3
dynamic,dynamic,self,1.000,all_372,v3
transaction,transaction,self,1.000,all_373,v3
adjust,adjust,self,1.000,all_374,v3
congestion,congestion,self,1.000,all_375,v3
fee spike,fee spike,self,1.000,all_376,v3
inaccuracy,inaccuracy,self,1.000,all_377,v3
confirmation,confirmation,self,1.000,all_378,v3
user data,user data,self,1.000,all_379,v3
fee query,fee query,self,1.000,all_380,v3
transaction-management,transactionmanagement,cluster+sbert,0.874,all_381,v3
transaction-management,transaction-management,self,1.000,all_381,v3
failurehandling,failurehandling,self,1.000,all_382,v3
financialregulations,financialregulations,self,1.000,all_383,v3
payoutstatus,payoutstatus,self,1.000,all_384,v3
engineering,engineering,self,1.000,all_385,v3
external services,external services,self,1.000,all_386,v3
access_logs,access_logs,self,1.000,all_387,v3
export_controls,export_controls,self,1.000,all_388,v3
geo-targeting,geo-targeting,self,1.000,all_389,v3
admin portal,admin portal,self,1.000,all_390,v3
change log,change log,self,1.000,all_391,v3
location awareness,location awareness,self,1.000,all_392,v3
geolocation,geolocation,self,1.000,all_393,v3
channel,channel,self,1.000,all_394,v3
user profiling,user profiling,self,1.000,all_395,v3
deliverability,deliverability,self,1.000,all_396,v3
unsubscribe,unsubscribe,self,1.000,all_397,v3
recipient_experience,recipient_experience,self,1.000,all_398,v3
provincial tax,provincial tax,self,1.000,all_399,v3
dual-gst,dual-gst,self,1.000,all_400,v3
multiple tax rates,multiple tax rates,self,1.000,all_401,v3
insurance,insurance,self,1.000,all_402,v3
fault-tolerance,fault-tolerance,self,1.000,all_403,v3
minor,minor,self,1.000,all_404,v3
child_protection,child_protection,self,1.000,all_405,v3
virtualcard,virtualcard,self,1.000,all_406,v3
freezeunfreeze,freezeunfreeze,self,1.000,all_407,v3
datadeletion,datadeletion,self,1.000,all_409,v3
updatedlogs,updatedlogs,self,1.000,all_410,v3
microtransactions,microtransactions,self,1.000,all_411,v3
operational-ledger,operational-ledger,self,1.000,all_412,v3
real-time posting,real-time posting,self,1.000,all_413,v3
reporting-ledger,reporting-ledger,self,1.000,all_414,v3
financial reporting,financial reporting,self,1.000,all_415,v3
ledger-management,ledger management,cluster+sbert,0.987,all_416,v3
ledger-management,ledger-management,self,1.000,all_416,v3
audit-trails,audit-trails,self,1.000,all_417,v3
immutable logging,immutable logging,self,1.000,all_418,v3
role-based access,role-based access,self,1.000,all_419,v3
resolution-workflows,resolution-workflows,self,1.000,all_420,v3
phantom-reversals,phantom-reversals,self,1.000,all_421,v3
ai,ai,self,1.000,all_422,v3
analysis,analysis,self,1.000,all_423,v3
customer,customer,self,1.000,all_424,v3
satisfaction,satisfaction,self,1.000,all_425,v3
guidelines,guidelines,self,1.000,all_426,v3
dependencies,dependencies,self,1.000,all_427,v3
constraints,constraints,self,1.000,all_428,v3
leadership,leadership,self,1.000,all_429,v3
prorated upgrades,prorated upgrades,self,1.000,all_430,v3
billing history,billing history,self,1.000,all_431,v3
payment processing,payment processing,self,1.000,all_432,v3
vat,vat,self,1.000,all_433,v3
downgrades,downgrades,self,1.000,all_434,v3
manual review,manual review,self,1.000,all_435,v3
threaded_discussions,threaded_discussions,self,1.000,all_436,v3
replies,replies,self,1.000,all_437,v3
browsers,browsers,self,1.000,all_438,v3
quickstart,quickstart,self,1.000,all_439,v3
cohort_updates,cohort_updates,self,1.000,all_440,v3
time_decay,time_decay,self,1.000,all_441,v3
data_visualization,data_visualization,self,1.000,all_442,v3
cohort_analysis,cohort_membership,cluster,0.814,all_443,v3
cohort_analysis,cohort_analysis,self,1.000,all_443,v3
decay_parameters,decay_parameters,self,1.000,all_444,v3
help_article,help_article,self,1.000,all_445,v3
analytics_data_store,analytics_data_store,self,1.000,all_446,v3
churn_prevention,churn_prevention,self,1.000,all_447,v3
customer_support,customer_support,self,1.000,all_448,v3
shared inbox,shared inbox,self,1.000,all_449,v3
collaboration,collaboration,self,1.000,all_450,v3
assignment rules,assignment rules,self,1.000,all_451,v3
ui_rendering,ui_rendering,self,1.000,all_452,v3
dryrun,dryrun,self,1.000,all_453,v3
merge,merge,self,1.000,all_454,v3
data analysis,data analysis,self,1.000,all_455,v3
best practices,best practices,self,1.000,all_456,v3
violation,violation,self,1.000,all_457,v3
audit log gaps,audit log gaps,self,1.000,all_458,v3
rolebasedaccess,rolebasedaccess,self,1.000,all_459,v3
securitycompliance,securitycompliance,self,1.000,all_460,v3
appspecificoverrides,appspecificoverrides,self,1.000,all_461,v3
checkout,checkout,self,1.000,all_462,v3
disclosure,disclosure,self,1.000,all_463,v3
calculator,calculator,self,1.000,all_464,v3
