model,requirement,hlj_id,tags_added,tags_dropped,num_tags_added,num_tags_dropped,total_tag_changes,top_reason
gpt41,req-015,REQ-015-HLJ-Chunk_1-Item_1-v1.0,"['notification', 'webhook']","['notifications', 'webhooks', '[INFERRED] compliance']",2,3,5,direct
meta70b,req-017,REQ-017-HLJ-Chunk_1-Item_3-v1.0,"['upgrade', 'edge case']","['edge cases', 'upgrades', '[INFERRED] billing']",2,3,5,semantic
gpt41,req-027,REQ-027-HLJ-Chunk_1-Item_9-v1.0,"['audit', 'logs']","['logging', '[INFERRED] traceability', 'auditing']",2,3,5,direct
opus4,req-021,REQ-021-HLJ-Chunk_1-Item_6-v1.0,['notification'],"['notifications', 'backend', 'messaging']",1,3,4,none
meta70b,req-010,REQ-010-HLJ-Chunk_1-Item_3-v1.0,['phantom balance'],"['logic development', 'phantom-balances', 'transaction-management']",1,3,4,none
gpt41,req-015,REQ-015-HLJ-Chunk_1-Item_3-v1.0,['webhook'],"['[INFERRED] usability', 'customization', 'webhooks']",1,3,4,none
gpt41,req-003,REQ-003-HLJ-Chunk_1-Item_6-v1.0,['logs'],"['logging', '[INFERRED] maintainability', 'false-positive']",1,3,4,none
opus4,req-003,REQ-003-HLJ-Chunk_1-Item_9-v1.0,['logs'],"['logging', 'ml', 'optimization']",1,3,4,none
meta70b,req-003,REQ-003-HLJ-Chunk_1-Item_2-v1.0,['alert'],"['alerting', '[INFERRED] notification', 'realtime']",1,3,4,none
opus4,req-006,REQ-006-HLJ-Chunk_1-Item_3-v1.0,['config'],"['admin-portal', 'configuration', 'real-time']",1,3,4,none
opus4,req-003,REQ-003-HLJ-Chunk_1-Item_10-v1.0,['alert'],"['alerts', 'performance', 'ratelimit']",1,3,4,none
opus4,req-022,REQ-022-HLJ-Chunk_1-Item_9-v1.0,"['notification', 'alert']","['notifications', 'alerts']",2,2,4,direct
meta70b,req-017,REQ-017-HLJ-Chunk_1-Item_4-v1.0,['notification'],"['notifications', 'user experience', '[INFERRED] alerts']",1,3,4,none
opus4,req-018,REQ-018-HLJ-Chunk_1-Item_8-v1.0,['lock'],"['concurrency', 'safety', 'locking']",1,3,4,none
opus4,req-017,REQ-017-HLJ-Chunk_1-Item_9-v1.0,['integration'],"['payments', 'integrations']",1,2,3,direct
gpt41,req-005,REQ-005-HLJ-Chunk_2-Item_7-v1.0,[],"['consistency', 'error_handling', '[INFERRED] concurrency']",0,3,3,none
meta70b,req-004,REQ-004-HLJ-Chunk_1-Item_3-v1.0,[],"['auditlogs', 'datalineage', '[INFERRED] compliance']",0,3,3,none
meta70b,req-022,REQ-022-HLJ-Chunk_1-Item_4-v1.0,[],"['filters', '[INFERRED] security', 'export_controls']",0,3,3,none
meta70b,req-022,REQ-022-HLJ-Chunk_1-Item_2-v1.0,[],"['access_logs', 'implementation', '[INFERRED] security']",0,3,3,none
meta70b,req-014,REQ-014-HLJ-Chunk_2-Item_12-v1.0,['logs'],"['logging', 'fee query']",1,2,3,semantic
meta70b,req-029,REQ-029-HLJ-Chunk_1-Item_3-v1.0,['filter'],"['filtering', '[INFERRED] data analysis']",1,2,3,semantic
gpt41,req-025,REQ-025-HLJ-Chunk_1-Item_4-v1.0,['alert'],"['alerting', '[INFERRED] regression']",1,2,3,direct
gpt41,req-025,REQ-025-HLJ-Chunk_1-Item_5-v1.0,['alert'],"['alerting', '[INFERRED] performance']",1,2,3,direct
meta70b,req-025,REQ-025-HLJ-Chunk_1-Item_6-v1.0,['ci/cd'],"['CI/CD', '[INFERRED] automation']",1,2,3,direct
meta70b,req-029,REQ-029-HLJ-Chunk_1-Item_1-v1.0,['logs'],"['logging', '[INFERRED] security']",1,2,3,direct
meta70b,req-004,REQ-004-HLJ-Chunk_1-Item_9-v1.0,['api'],"['[INFERRED] gdpr', 'apis']",1,2,3,direct
meta70b,req-025,REQ-025-HLJ-Chunk_1-Item_4-v1.0,['alert'],"['alerting', '[INFERRED] debugging']",1,2,3,semantic
meta70b,req-025,REQ-025-HLJ-Chunk_1-Item_3-v1.0,['dashboard'],"['dashboards', '[INFERRED] engineering']",1,2,3,direct
opus4,req-017,REQ-017-HLJ-Chunk_1-Item_3-v1.0,['upgrade'],"['upgrades', 'subscriptions']",1,2,3,direct
opus4,req-009,REQ-009-HLJ-Chunk_1-Item_3-v1.0,[],"['fx-rates', 'timing', 'rate-lock']",0,3,3,none
opus4,req-020,REQ-020-HLJ-Chunk_2-Item_12-v1.0,['webhook'],"['webhooks', 'sync-control']",1,2,3,direct
gpt41,req-022,REQ-022-HLJ-Chunk_1-Item_1-v1.0,['logs'],"['logging', '[INFERRED] compliance']",1,2,3,direct
meta70b,req-013,REQ-013-HLJ-Chunk_2-Item_4-v1.0,['notification'],"['notifications', 'payoutstatus']",1,2,3,direct
opus4,req-003,REQ-003-HLJ-Chunk_1-Item_7-v1.0,['alert'],"['alerts', 'ui']",1,2,3,direct
gpt41,req-009,REQ-009-HLJ-Chunk_1-Item_2-v1.0,['lock'],"['locking', '[INFERRED] risk management']",1,2,3,direct
meta70b,req-004,REQ-004-HLJ-Chunk_1-Item_7-v1.0,['edgecase'],"['edgecases', '[INFERRED] compliance']",1,2,3,semantic
meta70b,req-025,REQ-025-HLJ-Chunk_1-Item_5-v1.0,['alert'],"['alerting', '[INFERRED] notification']",1,2,3,direct
gpt41,req-010,REQ-010-HLJ-Chunk_1-Item_7-v1.0,['phantom balance'],"['[INFERRED] reconciliation', 'phantom-balance']",1,2,3,direct
gpt41,req-005,REQ-005-HLJ-Chunk_2-Item_6-v1.0,[],"['consistency', 'error_handling', '[INFERRED] rollback']",0,3,3,none
gpt41,req-029,REQ-029-HLJ-Chunk_1-Item_2-v1.0,['logs'],"['logging', '[INFERRED] session-tracking']",1,2,3,direct
meta70b,req-015,REQ-015-HLJ-Chunk_1-Item_9-v1.0,[],"['scalability', 'performance', '[INFERRED] architecture']",0,3,3,none
meta70b,req-015,REQ-015-HLJ-Chunk_1-Item_6-v1.0,['logs'],"['logging', '[INFERRED] analytics']",1,2,3,direct
gpt41,req-019,REQ-019-HLJ-Chunk_1-Item_9-v1.0,[],"['usability', 'error-handling', '[INFERRED] guidance']",0,3,3,none
gpt41,req-009,REQ-009-HLJ-Chunk_2-Item_2-v1.0,['notification'],"['notifications', '[INFERRED] messaging']",1,2,3,direct
gpt41,req-015,REQ-015-HLJ-Chunk_2-Item_1-v1.0,['logs'],"['logging', '[INFERRED] auditing']",1,2,3,direct
gpt41,req-015,REQ-015-HLJ-Chunk_2-Item_2-v1.0,[],"['performance', '[INFERRED] reliability', 'rate-limiting']",0,3,3,none
opus4,req-006,REQ-006-HLJ-Chunk_1-Item_2-v1.0,[],"['burst-control', 'rate-limiting', '[INFERRED] resilience']",0,3,3,none
meta70b,req-012,REQ-012-HLJ-Chunk_2-Item_6-v1.0,['exemption'],"['[INFERRED] compliance', 'exemptions']",1,2,3,direct
opus4,req-006,REQ-006-HLJ-Chunk_1-Item_4-v1.0,[],"['api-gateway', 'infrastructure', 'rate-limiting']",0,3,3,none
gpt41,req-029,REQ-029-HLJ-Chunk_1-Item_1-v1.0,['logs'],"['logging', '[INFERRED] traceability']",1,2,3,direct
gpt41,req-009,REQ-009-HLJ-Chunk_1-Item_5-v1.0,['notification'],"['notifications', '[INFERRED] fallback']",1,2,3,direct
gpt41,req-013,REQ-013-HLJ-Chunk_1-Item_2-v1.0,['logs'],"['logging', '[INFERRED] traceability']",1,2,3,direct
gpt41,req-005,REQ-005-HLJ-Chunk_2-Item_5-v1.0,[],"['availability', 'resilience', '[INFERRED] user-notification']",0,3,3,none
opus4,req-021,REQ-021-HLJ-Chunk_2-Item_3-v1.0,[],"['content', 'workflow', '[INFERRED] collaboration']",0,3,3,none
opus4,req-021,REQ-021-HLJ-Chunk_1-Item_8-v1.0,['notification'],"['notifications', 'workflow']",1,2,3,direct
opus4,req-009,REQ-009-HLJ-Chunk_2-Item_5-v1.0,[],"['timing', 'fx-rates', 'database']",0,3,3,none
opus4,req-021,REQ-021-HLJ-Chunk_1-Item_5-v1.0,['filter'],"['filtering', 'ux']",1,2,3,direct
opus4,req-003,REQ-003-HLJ-Chunk_1-Item_6-v1.0,['alert'],"['alerts', 'integration']",1,2,3,direct
opus4,req-009,REQ-009-HLJ-Chunk_2-Item_2-v1.0,[],"['fx-rates', 'rate-lock', 'database']",0,3,3,none
opus4,req-009,REQ-009-HLJ-Chunk_2-Item_6-v1.0,[],"['availability', 'error-handling', 'fx-rates']",0,3,3,none
